ADM2_Name,Reported incidents of gender-based violence,Service access difficulty (female),Safety at night (female),Fear of movement or travel (female),Reports of harassment or violence,Trust in the court system,Female unemployment rate,composite_score
Tripoli,29.0,57.3,70.8,89.19999999999999,90.1,8.7,16.5,0.7301366963108107
Saida,8.0,57.4,82.1,97.9,45.6,90.6,15.9,0.6487308594742716
Chouf,9.0,1.1,95.5,99.0,23.1,97.0,17.6,0.5943618409764966
Beirut,20.0,9.1,62.6,95.6,35.2,84.6,12.9,0.5860749922178825
West Bekaa,2.0,0.0,95.3,90.8,38.2,93.3,15.9,0.5514945604551191
Aley,6.0,17.5,71.9,98.8,4.9,100.0,22.9,0.5415964055219314
El Minieh-Dennie,5.0,0.0,3.8,89.0,100.0,28.6,31.7,0.48937326066700043
Marjaayoun,2.0,41.0,66.2,97.1,7.699999999999999,57.2,19.7,0.4774163822678096
El Meten,14.0,21.0,46.3,100.0,1.9,93.0,7.8,0.46958963663323156
Baabda,11.0,0.0,13.1,87.19999999999999,66.5,88.89999999999999,13.3,0.4688038500187438
Hasbaya,1.0,0.0,72.6,100.0,9.6,95.5,15.3,0.46748121290117023
Kesrwane,12.0,0.4,31.6,100.0,5.699999999999999,80.19999999999999,10.3,0.40879955311109345
Bent Jbeil,0.0,37.5,85.0,79.39999999999999,16.200000000000003,7.399999999999999,12.4,0.40018258106768784
El Hermel,0.0,0.0,60.4,85.5,8.4,85.5,14.3,0.39484133625763257
Rachaya,3.0,0.0,70.5,42.9,6.9,54.1,25.7,0.3687989851443934
Zgharta,1.0,2.5,45.9,48.4,4.9,97.4,23.5,0.35288137401374886
Baalbek,6.0,16.900000000000002,67.2,31.9,3.9,45.7,17.9,0.33346837180683286
El Koura,1.0,0.0,3.5,100.0,0.0,87.1,21.0,0.3286663522573939
Sour,5.0,0.0,19.4,95.2,4.9,33.9,14.6,0.3024534989816506
El Nabatieh,6.0,7.1,10.5,85.89999999999999,0.0,56.4,14.2,0.29531398544600956
Akkar,6.0,57.8,42.4,4.9,31.9,34.4,11.3,0.2915033203444366
Zahle,3.0,6.8,33.6,85.0,0.7,20.4,15.0,0.2887016001299664
Bcharre,0.0,81.3,0.0,0.0,0.0,94.4,30.2,0.27481244120560866
Jezzine,0.0,0.0,0.0,89.19999999999999,2.8000000000000003,22.1,10.9,0.19230138424471852
El Batroun,1.0,23.5,0.0,56.7,0.0,32.2,12.2,0.1778007189023193
Jbeil,2.0,26.9,0.0,0.0,0.0,98.4,15.8,0.1695430660856282
