adm3_name,ACS_Code,Consecutive Dry Days,Consecutive Wet Days,Days withh at least 10 mm rainfall,Days withh at least 20 mm rainfall,Very Hot Days (Tmax > 35°C),Hot days (Tmax > 30°C),Forest fire risk,Annual Dry Spell Length,composite_score
Litige,54003,135.424987792968,6.96500015258789,12.9649991989135,2.87999987602233,5.75,42.1916609371006,8.0,20.0550377819217,0.6971285224854991
Qarha Aakkar,35518,130.630004882812,7.41500091552734,17.6749992370605,4.6599998474121,14.5849990844726,33.8253968253968,142.0,10.5238095238095,0.6957652873695279
Kneisset Hnaider,35515,130.755004882812,7.44250059127807,17.8049993515014,4.62750005722045,11.1399993896484,34.4047619047619,142.0,9.83333333333333,0.6591154875643331
Hnaider,35514,128.956670125325,7.63666693369547,18.988332748413,5.29833316802978,11.0999997456868,33.0,142.0,9.95970695970696,0.6219168198410516
Qaa Jouar MaqiyÃ©,53267,130.581251144409,7.28749978542327,15.0024993419647,3.6000000834465,2.93125003576278,38.8244897959184,8.0,18.8312925170068,0.5951055434187966
Aamayer,35512,127.936668395996,7.7933333714803,20.2466659545898,5.93833303451538,9.46666653951009,30.2770562770563,142.0,10.6493506493506,0.5735213887311785
Dayret Nahr El-Kabir,35511,125.360000610351,8.02499961853027,21.3549995422363,6.63999938964843,11.0200004577636,26.8603174603175,142.0,12.9936507936508,0.5525781017013887
Litige,53002,135.567497253417,7.27249956130981,9.03000044822692,1.75249987840652,0.374999985098838,39.672380952381,8.0,0.12,0.551247254267687
Qaa Ouadi El-Khanzir,53254,129.563331604003,7.23999977111816,15.9333321253458,3.95000004768371,3.43166669209798,34.5658561296859,6.0,14.144883485309,0.5502702641309216
Khalsa,35430,125.360000610351,8.02499961853027,21.3549995422363,6.63999938964843,11.0200004577636,26.4732842296802,142.0,10.6021135268999,0.5385643213571742
Litige,54001,127.225006103515,7.19499969482421,17.7549991607666,4.78000020980835,3.27500009536743,38.4761904761905,4.0,14.952380952381,0.537513541288887
Conflict,0,144.725006103515,7.15499973297119,12.6399993896484,3.05499982833862,0.0,35.3985753814879,8.0,0.251798345015346,0.5363962486324285
Qaa Baayoun,53257,132.048997497558,7.47099981307983,13.7170000076293,3.02199997901916,1.7870000064373,36.3775510204082,8.0,7.8469387755102,0.5257797794305344
Conflict,0,127.225006103515,7.19499969482421,17.7549991607666,4.78000020980835,3.27500009536743,37.3388119701921,4.0,11.3415403266365,0.5147108682336655
Litige,53001,134.759994506835,7.59999942779541,10.7900009155273,2.19999980926513,0.234999984502792,39.752380952381,8.0,0.39047619047619,0.510883052205001
Litige,55002,150.697494506835,7.4825005531311,18.3649997711181,5.96499991416931,1.50000005960464,41.4035087719298,9.0,1.79197994987469,0.5087013797536258
