ADM3_Name,ACS_Code,T1 Displacement Ratio,T2 composite_score,T3 composite_score,T5 Demographic Shock Factor,T6 composite_score
 ,24373,0.0,,0.2971653164401535,,
 ,25488,0.0,,0.5198789757116538,,
 ,26213,0.0,,0.4042212426469422,,
 ,26388,0.391304347826087,,0.4052802123202335,,
 ,26390,0.0,,0.4052330013764377,,
 ,26392,0.0,,0.4076927055754281,,
 ,33152,0.0,,0.387751288803695,,
 ,52241,0.0,,0.4462383385552669,,
 تعزانية ,24333,,,,0.0678125,
 رجمة ,24335,,,,0.1819488849233881,
 رشميا ,24359,,,,0.0295426099966148,
 رملية ,24467,,,,0.0157069342299592,
 رويسة النعمان ,24347,,,,0.0,
 سرحمول ,24227,,,,0.0137818143031043,
 صوفر ,24427,,,,0.020593078019573,
 قماطية ,24315,,,,0.451205189407125,
 مجدل بعنا ,24424,,,,0.0097337361255349,
 مريجات عاليه,24481,,,,0.0,
 مزرعة النهر ,24474,,,,0.0740703703703703,
 مشرفه ,24457,,,,0.0059484883691385,
 معصريتي  ,24471,,,,0.0,
A'ain El-Mir (El Establ),63214,,0.1120952931704605,,0.0822736651967515,0.2971688414921395
AAbdelli,34217,,0.0518431787831889,,0.0116357113659926,0.1665224303692082
AAbra Saida,61244,,0.488756370666737,,,0.3002534578326135
AAridet Cheikh Zennad,35273,,0.3312314734777542,,,0.2929686912971684
Aaba,32143,,0.0828231275388184,,0.0173808472659574,0.1920862517950192
Aabadiyeh,21341,,0.3629179592100601,,,0.315893065294925
Aabaydat,26256,,0.0684074985562782,,,0.1780099204142139
Aabba,71351,,0.5185008915707529,,0.0,0.3302089943852291
Aabbassiyet Sour,62276,,0.4741524288526054,,,0.3429764648129815
Aabboudiyeh,35249,,0.3312314734777542,,,0.3720442238745491
Aabdine,36121,,0.0424874364070717,,0.0,0.1523582296110067
Aabey,24375,,0.3257531649907338,,,0.3212300075960004
Aabrine,34269,,0.0518431787831889,,0.0430087223646991,0.1720025484476635
Aachach,33267,,0.1680706206527333,,,0.2043714473991104
Aachqout,25423,,0.2369998485328059,,,0.2154711431918673
Aadaysseh Marjaayoun,73211,,0.5544781981432341,,,0.3598605780783484
Aadchit Ech-Chqif,71347,,0.5185008915707529,,,0.3362278725838097
Aadchit El-Qoussair,73256,,0.4829285462416079,,0.0,0.346922914782876
Aadloun,61434,,0.488756370666737,,,0.3300918526009931
Aadoua,37382,0.1805555555555555,,0.3033967891829908,,
Aadous,53127,,0.4680736887245614,,0.005671933331241,0.2994112620717342
Aadoussiyeh,61466,,0.488756370666737,,,0.2995599363659754
Aafsdiq,32127,,0.0828231275388184,,0.0187070979095045,0.1899493821738364
Aain Aalaq,22551,,0.2850687523799594,,,0.2703510226479278
Aain Aanoub,24259,,0.401842564921234,,,0.3149654698655757
Aain Aar,22471,,0.2850687523799594,,0.0025986796883329,0.2702711371817851
Aain Aarab Marjaayoun,73162,,0.400957397026142,,,0.3858765390244566
Aain Aarab Rachaiya,55167,,0.1640474326233566,,,0.4030188700043868
Aain Aata,55171,,0.2057420142662033,,,0.3504495160748332
Aain Abou Abdallah,62291,,0.4814543997596712,,,0.3317718764610047
Aain Baal,62243,,0.4741524288526054,,0.0,0.3528379101044807
Aain Baalbek,53217,,0.4680736887245614,,,0.3896685202280385
Aain Bou Souar,71216,,0.3152980923706067,,0.0,0.3083172474550288
Aain Bourday,53115,,0.4680736887245614,,0.0,0.3773225244307953
Aain Dara,24477,,0.3637636190204683,,,0.3236022471175467
Aain Drafil,24219,,0.283484214307092,,,0.3433119555181173
Aain Ed-Delb,61277,,0.488756370666737,,,0.3082523614079118
Aain Ed-Delbeh Jbayl,26221,,0.0684074985562782,,,0.1918189320817471
Aain Ed-Delbeh Kesrouane,25463,,0.2369998485328059,,,0.1786251965897324
Aain Ej-Jaouz Baalbek,53473,,0.4680736887245614,,0.8433578485364491,0.4961491815687708
Aain Ej-Jdideh Aaley,24325,,0.401842564921234,,,0.3039125491780666
Aain El Halazoun,24431,,0.3257531649907338,,,0.3221631924130523
Aain El-Barnaya,53465,,0.4680736887245614,,,0.4268366564498432
Aain El-Ghouaybeh,26317,,0.0684074985562782,,,0.1989941465274926
Aain El-Kharroube,22543,,,,0.0,
Aain El-Kharroubeh,22543,,0.2850687523799594,,,0.2577832441404461
Aain El-Qabu,22777,,0.2850687523799594,,0.0038165370502501,0.2456474525076886
Aain El-Qach,22523,,0.2850687523799594,,0.0679154227080541,0.258360583186967
Aain Er-Rihane,25251,,0.2369998485328059,,,0.2627753430827302
Aain Er-Roummaneh Aaley,24317,,0.3257531649907338,,,0.3242014251445257
Aain Es-Sindiane,22737,,0.2850687523799594,,0.0,0.2799703166179235
Aain Es-Siyaa Chadoura,53163,,0.4680736887245614,,0.0,0.4066227452311647
Aain Et-Teffaha,22563,,0.2850687523799594,,0.0,0.2462061158583713
Aain Et-Tine-Miniyé,37333,,,,7.455967254409233e-05,
Aain Et-Tineh BG,52116,,0.2111425405947351,,,0.3156743371708207
Aain Et-Tineh-Miniyeh,37333,,0.1902188054284537,,,0.1673232443053007
Aain Ez-Zeit,35427,,0.3312314734777542,,,0.3729561636702572
Aain Ez-Zeitoune,22714,,,,0.0,
Aain Ez-Zeitouneh,22714,,0.2850687523799594,,,0.2474125361042875
Aain Ibl,72143,,0.4113788943399817,,,0.3822250473117159
Aain Jarfa,74114,,0.2474365959090499,,,0.3529764680153089
Aain Jrain,26227,,0.1527036735445421,,,0.187094538949609
Aain Kfaa,26289,,0.0601253386697336,,,0.1721392364842761
Aain Kfar Zabad,51377,,0.2876057199753736,,,0.41190582703821
Aain Ksour,24371,,0.3257531649907338,,,0.3238300993000324
Aain Mouaffaq,21314,,0.4779319648517342,,,0.2986301355557292
Aain Ouzain,23627,,0.2412152636234502,,0.0010289316529532,0.3178188095379817
Aain Qana,71226,,0.5185008915707529,,0.0,0.304956189671238
Aain Qania,23619,,0.2412152636234502,,0.0106998892875317,0.3190805185879521
Aain Qinia,74126,,0.2474365959090499,,,0.3388277545458834
Aain Rouha,55147,,0.1640474326233566,,0.0007567577830321,0.3400492000282699
Aain Saade,22423,,,,0.0638554229762516,
Aain Saadeh,22423,,0.2850687523799594,,,0.330856514527435
Aain Tinta,35435,,0.3312314734777542,,,0.3530429569251029
Aain Traz,24361,,0.283484214307092,,,0.3423199019977977
Aain Yaaqoub,35187,,0.3312314734777542,,,0.3553049415970076
Aain Zebdeh,52146,,0.280117061108325,,,0.2884818148062908
Aain Zhalta,23469,,0.2823618269582497,,0.0843443914893046,0.314473106853772
Aain es-Sofsaf El-Matn,22727,,0.2850687523799594,,0.0167186848737152,0.2477783572882811
Aainbal,23533,,0.2412152636234502,,0.0087732660638877,0.3248558382244645
Aaintaroun,72151,,0.4829285462416079,,,0.4180313781121865
Aaita Ej-Jabal,72224,,0.4113788943399817,,,0.3600614081312571
Aaiyat,35185,,0.3312314734777542,,,0.3604045602377244
Aaiye,62242,,,,0.0,
Aaiyeh,62242,,0.4427656615962935,,,0.3618851150457248
Aaiyé,62242,0.0,,0.5596635607287662,,
Aajaltoun,25211,,0.2610343004563827,,,0.2523761015534581
Aakkar El-Aatiqa,35191,,0.3312314734777542,,,0.3478288294313915
Aalali,34237,,0.0518431787831889,,0.0,0.1663516024290278
Aaley,24311,,0.401842564921234,,,0.3105530604054227
Aaley Bsatine,24365,,0.3257531649907338,,,0.3222040633499132
Aali En-Nahri,51323,,0.3778397043499675,,,0.4134936994909955
Aali Et-Taher,71115,,0.3152980923706067,,0.0,0.3509930842201375
Aalita,26219,,0.0684074985562782,,0.2113253685099103,0.2026514453713378
Aalma,33133,,0.145922435877013,,,0.1924767478340418
Aalma Ech-Chaab,62316,,0.4741524288526054,,,0.3992122598871052
Aalmane Ech-Chouf,23311,,0.3649858171450936,,0.1449558293261596,0.2834945240914743
Aalmane Marjaayoun,73293,,0.4947859968938875,,,0.3431701869966398
Aalmat Ech-Chamliyeh,26212,,0.0684074985562782,,,0.1707419245311103
Aalmat Ej-Jnoubiye,26214,,,,5.664306246849644,
Aalmat Ej-Jnoubiyeh,26214,,0.0684074985562782,,,0.1827309171727609
Aamaret Aakkar,35265,,0.3312314734777542,,,0.335922884876747
Aamaret Chalhoub,22343,,0.2850687523799594,,0.0058965555847023,0.3487796502229546
