ADM2_Name,T1 Displacement Ratio,T2 composite_score,T3 composite_score,T4 composite_score,T5 Demographic Shock Factor,T6 composite_score,T7 composite_score,T8 composite_score
Akkar,0.032186729652512,0.2688142224238129,0.8632620610793593,0.4971670704380327,0.0118694617946299,0.8681514796458866,0.5015026603314275,0.3811365774129618
Aley,0.2627103407403461,0.2568003058175362,0.4368683312220671,0.561510059854447,0.309951904167216,0.4572905925348506,0.4254487435478827,0.4083452187750756
Baabda,0.0425904810169348,0.4422043481813492,0.3789594793708827,0.5608233122512865,0.173487076178447,0.4045515196904812,0.436212320999835,0.3993089590210477
Baalbek,0.0564982570660982,0.3964492152634972,0.8165356910869331,0.3610238318116783,0.018316439214482,0.4710199634687479,0.3973678816982003,0.2680347419196252
Bcharre,0.0143598461125525,0.0014794387883072,0.5417275373150279,0.143954258239842,0.0015402957389372,0.2472126028243101,0.2661105721886156,0.3862761344243925
Beirut,0.1577769710570608,0.322433315066763,0.240890530693225,0.6161274450028751,0.912994606868335,0.2800200690596241,0.3939004535691641,0.4574497670267541
Bent Jbeil,0.0020822410306344,0.3850448865420623,0.5687050658870956,0.0839690752044342,0.0003339745612098,0.1484041805189228,0.3131797646935178,0.3805205228771587
Chouf,0.5280042295648059,0.1866178118460578,0.3867264373251876,0.4849573574501687,0.37288453784489,0.4406302843409421,0.234961339643473,0.4264489884667226
El Batroun,0.0111350196367576,0.043435343799371,0.3351934413334648,0.0998997031272176,0.0049157750575908,0.379856177729024,0.1747649117376397,0.1765875711186202
El Hermel,0.0282088768930874,0.2121371585233809,1.0,0.4275552529801982,0.0016953867303637,0.4219008930617967,0.5404331447405704,0.2720980279349416
El Koura,0.065562716248632,0.0761010370949993,0.3351775707478123,0.5456913344462466,0.0372388869314057,0.3552277083276871,0.6597355597555865,0.2170289500912449
El Meten,0.0356154156577885,0.226095288306012,0.2240991088353287,0.4096028715214153,0.0360428350128727,0.4686680488830742,0.453577985558562,0.3656127617424041
El Minieh-Dennie,0.0541154550209205,0.1695652944303062,0.7607460464521789,0.315379831795732,0.0113978520641987,0.3838281184487766,0.1939553996647272,0.4579274482717599
El Nabatieh,0.0093720752513673,0.5288846618261789,0.4976191856714902,0.4028640935377948,0.0017468626256874,0.1772645990758144,0.4322630234548164,0.2128860025370971
Hasbaya,0.0670704117503741,0.2342703556569449,0.5816025709656464,0.3315420422647622,0.0422739285262979,0.383762467914836,0.3969308914681695,0.3216868017366119
Jbeil,0.1501332746064412,0.0539535956721543,0.3612901205737119,0.2042233921283961,0.108656326236893,0.4126179986815187,0.2910474583865603,0.1797972849563775
Jezzine,0.345296086423435,0.1280826339190167,0.3519846097692118,0.1086501114171705,0.117727255776759,0.3539824185769918,0.3581785627960328,0.1307215995920366
Kesrwane,0.0653451759234551,0.1923681984014613,0.213830525382972,0.5145767794841546,0.0517227808630392,0.3795359629793502,0.6477093404275325,0.2786788809091581
Marjaayoun,0.0076340502877915,0.48672979349258,0.5154800988772745,0.0983180047129035,0.0013293990966245,0.2674210362660902,0.1086308137606213,0.4288937944270462
Rachaya,0.1425595734044326,0.1249889655560304,0.4872891976507763,0.4200738031585274,0.0350583907561031,0.3993797141231687,0.2619869851417541,0.2528167261455354
Saida,0.3457778336624496,0.4536537359649669,0.5204660068606346,0.5524571217440339,0.3291896270312227,0.1402745586679447,0.3225791711539585,0.634511251938654
Sour,0.0942664919989025,0.4527389154284225,0.553248201211197,0.4617011277404524,0.030815220119826,0.132465495877021,0.4581007298148095,0.2062924569857156
Tripoli,0.0190967120514578,0.5975907742268436,0.7965181343038978,0.6213586385357617,0.0111143370023308,0.3683727598164444,0.1757579714674031,0.7479382413378686
West Bekaa,0.0211770221227135,0.214806384245653,0.5851351837248007,0.4272432720065043,0.0080607279199497,0.4171726184246171,0.3816778285909295,0.4157450754505919
Zahle,0.0399632841238604,0.2228971735802132,0.5965634224134957,0.193568601688898,0.0188168696016428,0.4658369757132555,0.1876403317279485,0.2086633528541053
Zgharta,0.0685829839253276,0.1113758659446596,0.493947216837562,0.2000704391034947,0.0642083220805059,0.3450979682696366,0.3179075211768319,0.245961793437072
