ADM3_Name,ACS_Code,Displacement Ratio,Outside CS,Inside CS,Overall IDPs,Population
Zoukak el-Blatt,10410,0.48245449427659975,96921,5142,5142,10658
Saïda Ville,61115,2.212448187380749,32584,1043,33627,15199
Barja,23251,1.0733324721181587,23394,1532,24926,23223
El Jiyeh,23267,1.9950716845878136,16945,867,17812,8928
Bchamoune,24243,1.2582134746404239,16250,371,16621,13210
"Chouberkié ""Ammik""",52181,0.0,0,0,0,0
Ghazyat,61311,0.8206912028725314,14056,572,14628,17824
Haret Saïda,61159,1.0419100665670424,13256,2083,15339,14722
Sour (Tyr),62111,0.25846130683529056,13200,3967,17167,66420
Aley,24311,0.4239782192979613,12464,617,13081,30853
Sarafend,61449,0.5540805725499249,9600,0,9600,17326
Tal Abbas El-gharbié,35211,0.01335240820219361,72,40,112,8388
El-Kamatiyeh,24315,1.7840612168719672,9041,518,9559,5358
Sebline,23243,1.3184502716749351,8503,2659,11162,8466
El-Wardaniyeh,23331,2.3435304781327897,8530,1812,10342,4413
Maad,26293,0.0,0,0,0,592
Chehime,23211,0.32615484446607457,7177,865,8042,24657
Obeidate,26256,0.06389452332657201,63,0,63,986
Joun,23336,1.8441720860430215,6963,410,7373,3998
Kousba,32137,0.018374338212394894,118,0,118,6422
Jadra,23271,1.2270429654591406,5826,0,5826,4748
Baouarta,24235,3.514314928425358,3372,65,3437,978
Jarjoura,37375,0.0,0,0,0,69
Ghosta,25319,0.05109264389042782,39,127,166,3249
Debbiyeh,23259,2.6786114221724526,4724,60,4784,1786
Aïn Sofar,24427,0.2837209302325581,660,133,793,2795
Damour,23111,0.8645585816121367,4390,340,4730,5471
Djounié Sarba,25111,0.17565704257719467,4204,0,4204,23933
Aramoun,24211,0.20106864349667855,3921,256,4177,20774
Baassir,23255,0.8211382113821138,3839,201,4040,4920
El-Moghaïriyeh,23341,0.7308282208588958,2620,239,2859,3912
Bekaatet Kénaan,25443,0.0,0,0,0,567
El-Mouaïsra,25357,7.827586206896552,3389,1151,4540,580
Abra,61244,0.3632988078952511,3320,398,3718,10234
Borge El-Chémali,62128,0.0986734405870731,3388,108,3496,35430
Lassa,26331,10.053892215568862,3200,158,3358,334
Bqosta,61266,2.14190093708166,3200,0,3200,1494
Bissariat,61453,0.28918062471706657,3008,186,3194,11045
Miemié,61183,0.10674742738048718,3000,278,3278,30708
Ankoune,61489,0.5766135395297459,3000,654,3654,6337
Mazboud,23215,0.6389776357827476,2883,317,3200,5008
Bhamdoun (Gare),24411,2.173089071383449,2927,513,3440,1583
El-Berjaine,23247,0.7992859976199921,1917,98,2015,2521
Katermaya,23231,0.4257314853702926,2363,678,3041,7143
Charoun,24444,0.7960954446854663,2749,187,2936,3688
Helaliat,61147,0.20160975228569195,2580,0,2580,12797
Baalchemay,21311,1.044529262086514,2438,25,2463,2358
Djezzine,63111,0.4792681321574306,2368,1273,3641,7597
Abbassyat,62276,0.16634491634491635,2208,377,2585,15540
Kfar Zeina,33145,0.09837467921300257,88,27,115,1169
Kab Elias,51234,0.10450703157575528,2268,489,2757,26381
El-Merwaniyé,61463,0.726729291204099,1880,673,2553,3513
Beit-El-Faks,37329,0.06278229448961156,139,0,139,2214
Zaboud,53237,0.1007905138339921,102,0,102,1012
El-Ram,53281,1.25,580,0,580,464
Chartoun,24353,3.0422535211267605,216,0,216,71
Hadace,21219,0.09841050449205252,2017,119,2136,21705
Bebnine,35275,0.08762777282945243,2009,57,2066,23577
Naamat,23141,0.14116612950483445,1840,569,2409,17065
Majdel Baana,24424,0.5665697674418605,1897,52,1949,3440
Borge Hammoud,22111,0.0254512760218549,1603,973,2576,101213
Rmeileh,23321,0.38676470588235295,1841,263,2104,5440
Al-Minieh,37271,0.056508894336539064,1798,0,1798,31818
Deir El-Kamar,23413,0.36365179025963007,1784,359,2143,5893
Dekouanet,22262,0.13816945098478903,1497,2200,3697,26757
Krayé,61255,0.5067735692562897,1720,113,1833,3617
El-Samkanieh,23417,0.35005096839959227,1717,0,1717,4905
Darbessim,61335,0.17081009547216183,1692,115,1807,10579
Bhamdoun (Village),24414,1.0786516853932584,1624,104,1728,1602
Hizzerta,51157,0.8613509395632301,1560,136,1696,1969
Zghorta,33111,0.08264255212258227,1518,127,1645,19905
El-Freidice,23467,2.346041055718475,1600,0,1600,682
Blat,26129,0.11338479464025633,1557,0,1557,13732
Btater,24447,0.6470817120622568,1528,135,1663,2570
Kfar Hatta,61493,0.4538291837377876,1440,0,1440,3173
Ham,53463,0.446064139941691,153,0,153,343
Koussaya,51353,0.10790273556231003,71,0,71,658
Anoute,23239,0.2703188879803761,1381,272,1653,6115
Almate El-Chemaliat,26212,1.8726042841037205,1400,261,1661,887
Louaizé,21243,0.6970602889885401,1399,0,1399,2007
El-Abadiyeh,21341,0.3684210526315789,1323,0,1323,3591
Mejdel-Anjar,51284,0.08567595940744197,1379,90,1469,17146
Kernayel,21456,0.5001718803712616,1375,80,1455,2909
El-Jahliyeh,23577,0.40199888950583007,1363,85,1448,3602
Zouk Bhanine,37291,0.1260410882842865,1362,0,1362,10806
Ablah,51163,0.22486626083748387,1219,0,1219,5421
Khreibé,53455,0.7231404958677686,1050,0,1050,1452
Al-Aïne,53217,0.16234484453729875,1321,0,1321,8137
Hourtala,53451,0.3741438356164384,1311,0,1311,3504
Al-Sfiré,37337,0.47534246575342465,1041,0,1041,2190
Aïnab,24351,0.8793893129770992,1126,26,1152,1310
Ras-Osta,26241,1.7482614742698193,1237,20,1257,719
Brital,53453,0.07512922226229114,1250,0,1250,16638
Jbail,26111,0.07230583716671878,1176,443,1619,22391
Haouche Al-Sonaid,53433,1.3344086021505377,1241,0,1241,930
Maghdouché,61323,0.32011393514461,1124,337,1461,4564
Roum,63277,0.7759721416134648,1040,297,1337,1723
