ADM3_Name,ACS_Code,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night,composite_score
Mina N:3,31181,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Mina N:2,31176,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Mina Jardin,31186,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Trablous et Tabbaneh,31161,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Mina N:1,31171,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Trablous El-Qobbe,31151,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Trablous Ez-Zahrieh,31156,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
"Trablous El-Haddadine, El-Hadid, El-Mharta",31116,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Trablous El Hadid,31146,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Trablous Et-Tell,31121,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Trablous En-Nouri,31126,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Trablous Es-Souayqa,31141,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Trablous El Mhatra,31131,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Trablous Er-Remmaneh,31136,28.0,117.0,1227.0,46.0,87.8,65.5,0.641997002839161
Borj El-Moulouk,73146,1.0,1583.0,40.0,114.0,91.4,90.3,0.5544781981432341
Marjaayoun,73111,1.0,1583.0,40.0,114.0,91.4,90.3,0.5544781981432341
Dibbine,73119,1.0,1583.0,40.0,114.0,91.4,90.3,0.5544781981432341
Mazraat Sarada,73175,1.0,1583.0,40.0,114.0,91.4,90.3,0.5544781981432341
Bany haiyane,73226,1.0,1583.0,40.0,114.0,91.4,90.3,0.5544781981432341
Aadaysseh Marjaayoun,73211,1.0,1583.0,40.0,114.0,91.4,90.3,0.5544781981432341
Houra,73183,1.0,1583.0,40.0,114.0,91.4,90.3,0.5544781981432341
Rabb Et-Tlatine,73257,1.0,1583.0,40.0,114.0,91.4,90.3,0.5544781981432341
