ADM3_Name,ACS_Code,Resident Population,Displaced Population,Heterogeneity,Displacement Ratio,Demographic Factor
Khreibet Hasbaiya,74181,15,0,0.23108312537755363,0.0,0.0
دلافة,74179,11,0,0.08331216447357259,0.0,0.0
مجيدية حاصبيا,74177,74,0,0.01724007561436669,0.0,0.0
كفير الزيت,74175,1301,180,0.5736203840408669,0.13835511145272866,0.07936331216553116
خلوات حاصبيّا,74168,883,10,0.007935572613611663,0.011325028312570781,8.98705845256134e-05
كفر شوبا,74160,1565,0,0.10535488025343909,0.0,0.0
ماري,74158,1074,0,0.268490792879268,0.0,0.0
برغز,74155,112,0,0.0,0.0,0.0
Salaiyeb,74141,1085,0,0.23397193439115588,0.0,0.0
كوكبا حاصبيّا,74133,733,28,0.5465931256763865,0.03819918144611187,0.020879409984909718
Marj Ez-Zouhour (Haouch El-Qinnaabe),74131,554,97,0.23253832917038691,0.17509025270758122,0.04071519481864175
شبعا,74130,4959,0,0.12463945494676876,0.0,0.0
ميمس,74128,1144,117,0.2598524852871784,0.10227272727272728,0.026575822358915976
عين قنيا,74126,1856,48,0.13878296835873538,0.02586206896551724,0.0035892146989328117
Chouaya Hasbaiya,74124,1793,113,0.23588340801884786,0.0630228667038483,0.014866048581221309
هبّارية,74122,1742,185,0.08090989860363029,0.10619977037887486,0.008592612653083585
Kfar Hamam,74120,584,0,0.2326193238156281,0.0,0.0
راشيّا الفخار,74118,602,0,0.6767601254977904,0.0,0.0
الفرديس,74116,673,0,0.15653748486057395,0.0,0.0
عين جرفا,74114,904,36,0.007056187610472775,0.03982300884955752,0.0002809986216559955
أبو قمحة,74112,66,45,0.4837976601296188,0.6818181818181818,0.3298620409974673
Hasbaiya,74111,7001,789,0.24994407843271754,0.11269818597343237,0.02816824423416857
علمانة,73293,12,0,0.17999999999999994,0.0,0.0
بليدا,73288,855,0,0.03500581605995323,0.0,0.0
تولين,73282,1643,0,0.021390528046876134,0.0,0.0
صوانة مرجعيون,73280,885,0,0.03216630520033803,0.0,0.0
مجدل سلم,73279,2356,0,0.0373280204908486,0.0,0.0
قنطرة,73276,68,0,0.04036991605613527,0.0,0.0
قبريخا,73262,1109,0,0.03908238465454228,0.0,0.0
رب التلاتين,73257,293,0,0.06615326347683381,0.0,0.0
Aadchit El-Qoussair,73256,258,0,0.23173918200400723,0.0,0.0
ميس الجبل,73250,1782,0,0.03907134763318354,0.0,0.0
محيبيب,73248,325,0,0.045405840600043934,0.0,0.0
مركبا,73245,843,0,0.0363870930285195,0.0,0.0
طلوسة,73244,283,0,0.03405625583987981,0.0,0.0
حولا,73234,1733,0,0.030036307672330342,0.0,0.0
طيبة مرجعيون,73232,2149,0,0.17426282198913146,0.0,0.0
دير سريان,73230,339,0,0.04017074305969104,0.0,0.0
كفركيلا,73228,2449,0,0.051709167850729876,0.0,0.0
بني حيان,73226,120,0,0.030872989680075236,0.0,0.0
عديسة مرجعيون,73211,1129,0,0.059106853460580866,0.0,0.0
Aamra,73191,5,0,0.23105612716247323,0.0,0.0
Houra,73183,33,0,0.23113172216469832,0.0,0.0
مزرعة  سردة,73175,228,0,0.48953871303616414,0.0,0.0
دير ميماس,73167,597,4,0.7351610327388874,0.006700167504187605,0.004925702061902093
عين عرب مرجعيون,73162,309,0,0.4716413843633316,0.0,0.0
الخيام,73159,4115,0,0.15583613278870645,0.0,0.0
قليعة,73151,1970,257,0.15621667530250405,0.1304568527918782,0.020379535813575402
برج الملوك,73146,423,0,0.6446666744460132,0.0,0.0
Mazraat Doumiat,73143,0,0,0.23104262805493303,0.0,0.0
بلاط مرجعيون,73135,455,0,0.25647038922390153,0.0,0.0
ابل السقي,73127,2354,50,0.6998632532525761,0.021240441801189464,0.014865404699502467
دبين,73119,686,0,0.24130088913005687,0.0,0.0
بويضة مرجعيون,73116,67,27,0.4332226850933456,0.40298507462686567,0.17458227608239302
Marjaayoun,73111,3137,0,0.23951196812565292,0.0,0.0
قوزح,72291,565,0,0.1616677805488993,0.0,0.0
بيت ليف,72287,1879,0,0.047482728277947084,0.0,0.0
حنين,72284,41,0,0.051953515153321805,0.0,0.0
دبل امية,72281,1454,20,0.15662845321618235,0.013755158184319119,0.002154449150153815
ياطر,72277,1687,0,0.02870911706132584,0.0,0.0
فرون,72276,820,0,0.037178140264932935,0.0,0.0
غندورية بنت جبيل,72274,650,0,0.08092940364184287,0.0,0.0
رشاف,72271,41,0,0.04420209490643223,0.0,0.0
صربين,72267,79,0,0.03235177435661185,0.0,0.0
برج قلويه,72264,812,0,0.05560888888888915,0.0,0.0
قلويه,72261,775,0,0.035618377122949574,0.0,0.0
كفرا بنت جبيل,72257,1466,0,0.03588272937484904,0.0,0.0
طيري,72254,450,0,0.045172524648402046,0.0,0.0
كونين,72251,434,0,0.04790020639153203,0.0,0.0
كفر دونين,72247,2416,0,0.08319037946744445,0.0,0.0
دير نطار,72244,2053,0,0.047196158692526025,0.0,0.0
حاريص,72241,3538,0,0.029950855240392982,0.0,0.0
بيت ياحون,72237,320,0,0.046879737674607624,0.0,0.0
خربة سلم,72234,1748,0,0.05327780337915,0.0,0.0
حداثا,72231,2145,0,0.051743993392362575,0.0,0.0
شقرا ,72229,4390,0,0.0344888956686884,0.0,0.0
برعشيت,72227,1442,0,0.13697062452076048,0.0,0.0
عيتا الجبل الزط,72224,888,0,0.0428904036609522,0.0,0.0
جميجمة,72221,1456,0,0.03999225648650595,0.0,0.0
صفد البطيخ,72217,919,0,0.4785761047097491,0.0,0.0
سلطانية ,72214,750,0,0.0662178924061888,0.0,0.0
تبنين,72211,3340,0,0.20535555295360886,0.0,0.0
رامية بنت جبيل,72191,1069,0,0.0675732054030257,0.0,0.0
عيتا الشعب,72183,2848,0,0.034391487207386384,0.0,0.0
Qatmoun,72175,0,0,0.23104262805493303,0.0,0.0
رميش,72167,4406,63,0.15710004794785892,0.014298683613254653,0.0022463238812335706
يارون,72159,2346,0,0.35506604237237116,0.0,0.0
عيترون,72151,4069,0,0.03395944973872511,0.0,0.0
