ADM2_Name,Displacement Ratio,Outside CS,Inside CS,Overall IDPs,Population
El Batroun,0.011135019636757603,395,345,740,66457
Chouf,0.5280042295648059,128746,14067,142813,270477
El Minieh-Dennie,0.0541154550209205,9193,740,9933,183552
El Koura,0.06556271624863204,5397,534,5931,90463
El Meten,0.035615415657788536,11249,6402,17651,495600
El Nabatieh,0.009372075251367388,2108,75,2183,232926
Bcharre,0.014359846112552564,292,29,321,22354
Baabda,0.042590481016934835,15910,8294,24204,568296
Bent Jbeil,0.0020822410306344094,116,23,139,66755
Beirut,0.15777697105706082,96921,47808,47808,303010
Jbeil,0.1501332746064412,17075,2695,19770,131683
Jezzine,0.34529608642343507,8252,2168,10420,30177
Zahle,0.03996328412386045,10075,1419,11494,287614
Aley,0.26271034074034616,68443,10461,78904,300346
Zgharta,0.0685829839253276,5288,715,6003,87529
Sour,0.09426649199890252,19780,4614,24394,258777
Akkar,0.03218672965251204,14500,1103,15603,484765
Hasbaya,0.06707041175037416,1264,663,1927,28731
Rachaya,0.1425595734044326,3871,1262,5133,36006
Kesrwane,0.06534517592345519,14962,2180,17142,262330
El Hermel,0.02820887689308742,1505,0,1505,53352
Marjaayoun,0.007634050287791579,252,0,252,33010
Saida,0.3457778336624496,104328,16669,120997,349927
West Bekaa,0.02117702212271357,455,2165,2620,123719
Baalbek,0.05649825706609827,20357,0,20357,360312
Tripoli,0.019096712051457864,1736,2943,4679,245016
