ADM2_Name,Resident Population,Displaced Population,Heterogeneity,Displacement Ratio,Demographic Factor
Akkar,636152,14309,0.5276945879919925,0.022493051974999685,0.011869461794629933
Aley,342732,160224,0.6630120083073592,0.4674906340814397,0.309951904167216
Baabda,155928,34735,0.7787963959796416,0.22276307013493407,0.173487076178447
Baalbek,674036,25850,0.477599203960255,0.03835106730204321,0.018316439214482
El Batroun,103178,890,0.5698874594293307,0.00862586985597705,0.00491577505759081
Bcharre,21014,292,0.11084854334940797,0.013895498239269059,0.00154029573893724
West Bekaa,228356,2998,0.6139811824176233,0.013128623727863512,0.00806072791994971
Bent Jbeil,93680,139,0.22508443808731582,0.0014837745516652434,0.00033397456120983
Beirut,114436,145939,0.715911790759049,1.275289244643294,0.912994606868335
Chouf,297066,147041,0.7533362675677537,0.4949775470770805,0.37288453784489
El Meten,387199,18417,0.7577645476543031,0.0475646889583909,0.0360428350128727
Hasbaya,25993,1930,0.5693400125306018,0.07425075981995152,0.0422739285262979
El Hermel,248120,2775,0.1515889569505814,0.011184104465581171,0.00169538673036379
Jbeil,97677,20293,0.5229992597369064,0.20775617596773038,0.108656326236893
Jezzine,56588,10677,0.623953352991965,0.188679578709267,0.117727255776759
Kesrwane,148994,17051,0.45196082411047256,0.11444084996711278,0.0517227808630392
El Koura,95601,5961,0.5972277855274821,0.062352904258323655,0.0372388869314057
Marjaayoun,55493,252,0.2927473970991581,0.004541113293568559,0.00132939909662458
El Minieh-Dennie,217946,9997,0.2484861724501204,0.045869160250704304,0.011397852064198718
El Nabatieh,169555,2437,0.12153848686845903,0.01437291734245525,0.0017468626256874444
Rachaya,43441,2131,0.7146745907254223,0.0490550401694252,0.035058390756103106
Saida,230538,124315,0.6104711276718339,0.5392386504610953,0.32918962703122273
Sour,244720,25094,0.3005140937165792,0.10254168028767571,0.030815220119826084
Tripoli,105686,3888,0.3021167233611973,0.03678822171337736,0.01111433700233082
Zahle,506633,11804,0.8076285239655319,0.02329891657274595,0.01881686960164288
Zgharta,72376,11599,0.40065018699014543,0.1602603072841826,0.06420832208050593
