ADM2_Name,Forest fire risk,Annual Dry Spell Length,Consecutive Dry Days,Consecutive Wet Days,Days withh at least 10 mm rainfall,Days withh at least 20 mm rainfall,Very Hot Days (Tmax > 35°C),Hot days (Tmax > 30°C),composite_score
Rachaya,9.0,33.4313067263459,150.920966,7.73435,24.624104,10.656766,1.625727,31.754863,0.7061379157524245
Zahle,5.0,30.0430358113882,144.168319,7.98578,24.302525,9.573078,1.52612,30.444573,0.6331288508540531
West Bekaa,13.0,31.8028236420196,148.194396,7.820567,26.576898,11.905321,1.581175,31.055875,0.6215674203913746
Baalbek,8.0,28.9382133018496,134.209041,8.056698,22.073775,7.698019,0.729441,27.798217,0.6005616565509717
Hasbaya,23.0,26.3764356691186,153.642715,7.648558,26.93141,12.987917,1.782639,26.2703,0.5746906463194221
Akkar,142.0,25.7702049373207,123.115246,8.091763,27.687256,10.776996,3.981728,24.958344,0.5543987131371878
Aley,73.0,27.0349120780387,145.652298,7.6168,29.011656,14.12098,1.588167,27.277121,0.5391539695847578
Marjaayoun,25.0,21.7988841313092,155.969137,7.531577,26.571558,13.038557,1.898949,21.346075,0.5339535373694906
El Hermel,4.0,28.3981981981982,126.471559,8.093047,24.358886,8.344957,0.947092,27.488837,0.5200700964128401
Baabda,51.0,27.3524504692388,144.495595,7.79972,28.740889,13.716993,1.414079,27.256836,0.5073799534281429
Chouf,93.0,24.208315565032,147.996651,7.665351,29.190259,14.531142,1.259629,24.489405,0.49508123684502925
Bent Jbeil,35.0,15.7889697433933,158.366032,7.540609,25.251898,12.344519,1.479385,15.769302,0.4798860552846698
El Meten,94.0,26.18105562008,140.776892,8.008035,29.054467,13.93761,0.98686,26.690407,0.4646447656756393
Jezzine,74.0,22.6033613445378,151.842249,7.662271,28.964583,14.72473,1.206976,21.757724,0.46358432225197
Sour,55.0,13.7679714119505,158.965025,7.521935,25.589481,12.584747,1.404926,13.851043,0.4567593439357371
Beirut,0.0,24.3993855606759,144.119995,7.62,29.309999,14.63,2.115,24.548683,0.446979095481118
El Nabatieh,42.0,17.0496264079402,154.991151,7.513292,27.877129,14.141758,1.47625,17.544267,0.4307478475069438
Tripoli,1.0,32.5006105006105,125.043571,8.194077,29.440154,13.046654,0.378269,32.104416,0.4029499049246923
Saida,50.0,14.4558531746032,153.883142,7.528528,28.1025,14.375214,1.450013,15.337723,0.38607277173779936
Kesrwane,74.0,25.1321873147599,135.043213,8.342791,29.742176,14.263973,0.41222,25.744068,0.34560648663790194
El Minieh-Dennie,53.0,25.7887715397443,125.441807,8.189968,30.167556,12.428436,0.514184,25.855961,0.34364072627681347
El Koura,41.0,28.3247619047619,126.573729,8.380686,29.911931,13.559408,0.217811,27.881357,0.33072750680861085
Zgharta,31.0,26.6884841586037,126.317055,8.269665,30.053089,12.817174,0.308585,26.849416,0.32789185833776446
Jbeil,92.0,24.8884103054957,130.613938,8.594135,30.470139,14.315855,0.080157,25.106205,0.2844372821404366
El Batroun,72.0,25.8115995115995,127.904984,8.579356,30.320616,14.047859,0.083363,25.937669,0.28248557179516876
Bcharre,19.0,25.4761904761905,126.775366,8.761485,30.289422,12.703735,0.03255,25.784295,0.2395635725415441
