excel_file,sheet_name,level,theme,output_csv,mode
GOV Theme 1 - Displacement Pressure.xlsx,Master Sheet,GOV,1,RAW_CSV\GOV\GOV Theme 1 - Displacement Pressure.csv,single_master_sheet
GOV Theme 2 - Tensions and Conflict Risk.xlsx,Master Sheet,GOV,2,RAW_CSV\GOV\GOV Theme 2 - Tensions and Conflict Risk.csv,single_master_sheet
GOV Theme 3 - Socioeconomic Vulnerability.xlsx,Master Sheet,GOV,3,RAW_CSV\GOV\GOV Theme 3 - Socioeconomic Vulnerability.csv,single_master_sheet
GOV Theme 4 - Service & Infrastructure Vulnerability.xlsx,Master Sheet,GOV,4,RAW_CSV\GOV\GOV Theme 4 - Service & Infrastructure Vulnerability.csv,single_master_sheet
GOV Theme 6 - Climate and Environmental Risk.xlsx,Master Sheet,GOV,6,RAW_CSV\GOV\GOV Theme 6 - Climate and Environmental Risk.csv,single_master_sheet
GOV Theme 7 - Political Vulnerability.xlsx,Master Sheet,GOV,7,RAW_CSV\GOV\GOV Theme 7 - Political Vulnerability.csv,single_master_sheet
GOV Theme 8 - Gender Based Vulnerabilities.xlsx,Master Sheet,GOV,8,RAW_CSV\GOV\GOV Theme 8 - Gender Based Vulnerabilities.csv,single_master_sheet
DIS Theme 1 - Displacement Pressure.xlsx,Master Sheet,DIS,1,RAW_CSV\DIS\DIS Theme 1 - Displacement Pressure.csv,single_master_sheet
DIS Theme 2 - Tensions and Conflict Risk.xlsx,Master Sheet,DIS,2,RAW_CSV\DIS\DIS Theme 2 - Tensions and Conflict Risk.csv,single_master_sheet
DIS Theme 3 - Socioeconomic Vulnerability.xlsx,Master Sheet,DIS,3,RAW_CSV\DIS\DIS Theme 3 - Socioeconomic Vulnerability.csv,single_master_sheet
DIS Theme 4 - Service & Infrastructure Vulnerability.xlsx,Master Sheet,DIS,4,RAW_CSV\DIS\DIS Theme 4 - Service & Infrastructure Vulnerability.csv,single_master_sheet
DIS Theme 6 - Climate Change and Environmental Risk.xlsx,Master Sheet,DIS,6,RAW_CSV\DIS\DIS Theme 6 - Climate Change and Environmental Risk.csv,single_master_sheet
DIS Theme 7 - Political Vulnerability.xlsx,Master Sheet,DIS,7,RAW_CSV\DIS\DIS Theme 7 - Political Vulnerability.csv,single_master_sheet
DIS Theme 8 - Gender Based Vulnerabilities.xlsx,Master Sheet,DIS,8,RAW_CSV\DIS\DIS Theme 8 - Gender Based Vulnerabilities.csv,single_master_sheet
CAD Theme 1 - Displacement Pressure.xlsx,Master Sheet,CAD,1,RAW_CSV\CAD\CAD Theme 1 - Displacement Pressure.csv,single_master_sheet
CAD Theme 2 - Tensions and Conflict Risk.xlsx,Master Sheet,CAD,2,RAW_CSV\CAD\CAD Theme 2 - Tensions and Conflict Risk.csv,single_master_sheet
CAD Theme 3 - Socioeconomic Vulnerability.xlsx,Master Sheet,CAD,3,RAW_CSV\CAD\CAD Theme 3 - Socioeconomic Vulnerability.csv,single_master_sheet
CAD Theme 6 - Climate Change and Environmental Risk.xlsx,Master Sheet,CAD,6,RAW_CSV\CAD\CAD Theme 6 - Climate Change and Environmental Risk.csv,single_master_sheet
