level,csv_file,theme,geojson_file,output_geojson,csv_join_column,geojson_join_column,csv_rows,geojson_features,matched_features,unmatched_csv_rows,unmatched_geojson_features,duplicate_csv_keys,duplicate_csv_key_values
GOV,GOV Theme 1 - Displacement Pressure.csv,1,GOV_lbn_ADM1.geojson,GOV\joined\GOV Theme 1 - Displacement Pressure__joined.geojson,ADM1_Name,adm1_name,8,8,8,0,0,0,[]
GOV,GOV Theme 2 - Tensions and Conflict Risk.csv,2,GOV_lbn_ADM1.geojson,GOV\joined\GOV Theme 2 - Tensions and Conflict Risk__joined.geojson,ADM1_Name,adm1_name,8,8,8,0,0,0,[]
GOV,GOV Theme 3 - Socioeconomic Vulnerability.csv,3,GOV_lbn_ADM1.geojson,GOV\joined\GOV Theme 3 - Socioeconomic Vulnerability__joined.geojson,ADM1_Name,adm1_name,8,8,8,0,0,0,[]
GOV,GOV Theme 4 - Service & Infrastructure Vulnerability.csv,4,GOV_lbn_ADM1.geojson,GOV\joined\GOV Theme 4 - Service & Infrastructure Vulnerability__joined.geojson,ADM1_Name,adm1_name,8,8,8,0,0,0,[]
GOV,GOV Theme 5 - Demographic Tension Stress.csv,5,GOV_lbn_ADM1.geojson,GOV\joined\GOV Theme 5 - Demographic Tension Stress__joined.geojson,ADM1_Name,adm1_name,8,8,8,0,0,0,[]
GOV,GOV Theme 6 - Climate and Environmental Risk.csv,6,GOV_lbn_ADM1.geojson,GOV\joined\GOV Theme 6 - Climate and Environmental Risk__joined.geojson,ADM1_Name,adm1_name,8,8,8,0,0,0,[]
GOV,GOV Theme 7 - Political Vulnerability.csv,7,GOV_lbn_ADM1.geojson,GOV\joined\GOV Theme 7 - Political Vulnerability__joined.geojson,ADM1_Name,adm1_name,8,8,8,0,0,0,[]
GOV,GOV Theme 8 - Gender Based Vulnerabilities.csv,8,GOV_lbn_ADM1.geojson,GOV\joined\GOV Theme 8 - Gender Based Vulnerabilities__joined.geojson,ADM1_Name,adm1_name,8,8,8,0,0,0,[]
DIS,DIS Theme 1 - Displacement Pressure.csv,1,DIS_lbn_ADM2.geojson,DIS\joined\DIS Theme 1 - Displacement Pressure__joined.geojson,ADM2_Name,adm2_name,26,26,26,0,0,0,[]
DIS,DIS Theme 2 - Tensions and Conflict Risk.csv,2,DIS_lbn_ADM2.geojson,DIS\joined\DIS Theme 2 - Tensions and Conflict Risk__joined.geojson,ADM2_Name,adm2_name,26,26,26,0,0,0,[]
DIS,DIS Theme 3 - Socioeconomic Vulnerability.csv,3,DIS_lbn_ADM2.geojson,DIS\joined\DIS Theme 3 - Socioeconomic Vulnerability__joined.geojson,ADM2_Name,adm2_name,26,26,26,0,0,0,[]
DIS,DIS Theme 4 - Service & Infrastructure Vulnerability.csv,4,DIS_lbn_ADM2.geojson,DIS\joined\DIS Theme 4 - Service & Infrastructure Vulnerability__joined.geojson,ADM2_Name,adm2_name,26,26,26,0,0,0,[]
DIS,DIS Theme 5 - Demographic Tension Stress.csv,5,DIS_lbn_ADM2.geojson,DIS\joined\DIS Theme 5 - Demographic Tension Stress__joined.geojson,ADM2_Name,adm2_name,26,26,26,0,0,0,[]
DIS,DIS Theme 6 - Climate Change and Environmental Risk.csv,6,DIS_lbn_ADM2.geojson,DIS\joined\DIS Theme 6 - Climate Change and Environmental Risk__joined.geojson,ADM2_Name,adm2_name,26,26,26,0,0,0,[]
DIS,DIS Theme 7 - Political Vulnerability.csv,7,DIS_lbn_ADM2.geojson,DIS\joined\DIS Theme 7 - Political Vulnerability__joined.geojson,ADM2_Name,adm2_name,26,26,26,0,0,0,[]
DIS,DIS Theme 8 - Gender Based Vulnerabilities.csv,8,DIS_lbn_ADM2.geojson,DIS\joined\DIS Theme 8 - Gender Based Vulnerabilities__joined.geojson,ADM2_Name,adm2_name,26,26,26,0,0,0,[]
CAD,CAD Theme 1 - Displacement Pressure.csv,1,CAD_lbn_ADM3.geojson,CAD\joined\CAD Theme 1 - Displacement Pressure__joined.geojson,ACS_Code,adm3_pcode,1547,1627,1547,0,80,0,[]
CAD,CAD Theme 2 - Tensions and Conflict Risk.csv,2,CAD_lbn_ADM3.geojson,CAD\joined\CAD Theme 2 - Tensions and Conflict Risk__joined.geojson,ACS_Code,adm3_pcode,1627,1627,1611,0,0,1,['0']
CAD,CAD Theme 3 - Socioeconomic Vulnerability.csv,3,CAD_lbn_ADM3.geojson,CAD\joined\CAD Theme 3 - Socioeconomic Vulnerability__joined.geojson,ACS_Code,adm3_pcode,1547,1627,1547,0,80,0,[]
CAD,CAD Theme 5 - Demographic Tension Stress.csv,5,CAD_lbn_ADM3.geojson,CAD\joined\CAD Theme 5 - Demographic Tension Stress__joined.geojson,ACS_Code,adm3_pcode,1627,1627,1611,0,0,1,['0']
CAD,CAD Theme 6 - Climate Change and Environmental Risk.csv,6,CAD_lbn_ADM3.geojson,CAD\joined\CAD Theme 6 - Climate Change and Environmental Risk__joined.geojson,ACS_Code,adm3_pcode,1627,1627,1611,0,0,1,['0']
