ADM3_Name,ACS_Code,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night
Conflict,0,13.0,862.0,191.0,81.0,35.0,64.8
Conflict,0,13.0,862.0,191.0,81.0,35.0,64.8
Conflict,0,13.0,862.0,191.0,81.0,35.0,64.8
Conflict,0,13.0,862.0,191.0,81.0,35.0,64.8
Conflict,0,0.0,111.0,9.0,4.0,59.5,67.7
Conflict,0,13.0,862.0,191.0,81.0,35.0,64.8
Conflict,0,13.0,862.0,191.0,81.0,35.0,64.8
Conflict,0,0.0,111.0,9.0,4.0,59.5,67.7
Conflict,0,3.0,237.0,45.0,33.0,84.2,64.6
Conflict,0,1.0,1583.0,40.0,114.0,91.4,90.3
Conflict,0,13.0,862.0,191.0,81.0,35.0,64.8
Conflict,0,1.0,1262.0,25.5,60.0,95.05,79.95
Conflict,0,0.0,111.0,9.0,4.0,59.5,67.7
Conflict,0,13.0,862.0,191.0,81.0,35.0,64.8
Conflict,0,13.0,862.0,191.0,81.0,35.0,64.8
Conflict,0,13.0,862.0,191.0,81.0,35.0,64.8
Conflict,0,7.5,93.5,61.0,17.0,72.4,49.45
Ain el-Mreisseh,10110,16.0,212.0,500.0,14.0,94.2,45.5
Ras Beyrouth,10150,16.0,212.0,500.0,14.0,94.2,45.5
Moussaytbeh,10210,21.0,319.5,598.5,36.0,93.35,22.75
Minet el-Hosn,10250,16.0,212.0,500.0,14.0,94.2,45.5
Mazraa,10310,21.0,319.5,598.5,36.0,93.35,22.75
Bachoura,10350,16.0,212.0,500.0,14.0,94.2,45.5
Zoukak el-Blatt,10410,16.0,212.0,500.0,14.0,94.2,45.5
Marfaa,10450,16.0,212.0,500.0,14.0,94.2,45.5
Saifeh,10510,16.0,212.0,500.0,14.0,94.2,45.5
Remeil,10550,15.0,108.0,340.0,16.5,96.75,42.15
Medawar,10610,15.0,108.0,340.0,16.5,96.75,42.15
Achrafieh,10650,18.666667,214.333333,459.0,30.333333,95.333333,28.1
Beirut Central District,10999,16.0,212.0,500.0,14.0,94.2,45.5
Chiyah,21111,21.0,319.5,598.5,36.0,93.35,22.75
Furn Ech-Chebbak,21133,18.666667,214.333333,459.0,30.333333,95.333333,28.1
Haret Hreik,21144,26.0,427.0,697.0,58.0,92.5,0.0
Laylakeh,21166,20.5,275.5,423.5,38.5,92.95,29.3
Bourj El-Brajneh,21177,26.0,427.0,697.0,58.0,92.5,0.0
Tahouitat El Ghadir,21188,20.5,275.5,423.5,38.5,92.95,29.3
Baabda,21211,20.0,215.5,438.5,38.5,95.9,19.4
Hadath Beyrouth,21219,20.5,275.5,423.5,38.5,92.95,29.3
Boutchay,21227,26.0,427.0,697.0,58.0,92.5,0.0
Merdache,21235,26.0,427.0,697.0,58.0,92.5,0.0
Louayzeh Baabda,21243,20.0,215.5,438.5,38.5,95.9,19.4
Kfar Chima,21251,20.5,275.5,423.5,38.5,92.95,29.3
Ouadi Chahrour Es-Soufla,21259,20.5,275.5,423.5,38.5,92.95,29.3
Ouadi Chahrour El Aaoulia,21267,20.5,275.5,423.5,38.5,92.95,29.3
Haret Es-Sit,21275,20.5,275.5,423.5,38.5,92.95,29.3
Bsaba Baabda,21283,20.5,275.5,423.5,38.5,92.95,29.3
Baalchmay,21311,20.5,275.5,423.5,38.5,92.95,29.3
Aain Mouaffaq,21314,26.0,427.0,697.0,58.0,92.5,0.0
Rouayssrt El-Ballout,21317,26.0,427.0,697.0,58.0,92.5,0.0
