adm3_name,ACS_Code,Mean annual hot days,Forest fire risk,Annual Dry Spell Length
Conflict,0,30.630139310815,8.0,1.26894056318685
Conflict,0,30.4095238095238,8.0,0.904761904761905
Conflict,0,30.5840795861781,8.0,1.5307007747144
Conflict,0,30.2002986267489,8.0,0.0
Conflict,0,35.8,9.0,0.0571428571428571
Conflict,0,29.7141175329106,8.0,0.0
Conflict,0,35.3985753814879,8.0,0.251798345015346
Conflict,0,32.6904761904762,9.0,0.0
Conflict,0,37.3388119701921,4.0,11.3415403266365
Conflict,0,21.952380952381,25.0,0.619047619047619
Conflict,0,29.352380952381,8.0,0.0
Conflict,0,26.1446208112875,24.0,4.07583774250441
Conflict,0,38.2571428571429,9.0,0.228571428571429
Conflict,0,28.67573763766,8.0,0.0
Conflict,0,30.7961655673283,8.0,0.0
Conflict,0,30.4285714285714,8.0,0.0
Conflict,0,35.1553884711779,7.0,0.641604010025063
Ain el-Mreisseh,10110,23.7366381781861,0.0,1.05741985989074
Ras Beyrouth,10150,23.5428571428571,0.0,0.990476190476191
Moussaytbeh,10210,24.0873015873016,25.5,1.19047619047619
Minet el-Hosn,10250,24.0711829370399,0.0,1.30051772621291
Mazraa,10310,24.5809523809524,25.5,1.71428571428571
Bachoura,10350,24.1910682378998,0.0,1.32834974783057
Zoukak el-Blatt,10410,24.0692391941522,0.0,1.2438362981527
Marfaa,10450,24.7243532189051,0.0,1.67498676140344
Saifeh,10510,24.6387780769839,0.0,1.52336204210924
Remeil,10550,24.91629264671,47.0,1.88201703140242
Medawar,10610,25.1269841269841,47.0,2.14285714285714
Achrafieh,10650,24.9047619047619,48.333333,2.00952380952381
Beirut Central District,10999,24.7142857142857,0.0,1.61904761904762
Chiyah,21111,24.6071428571429,25.5,2.29365079365079
Furn Ech-Chebbak,21133,24.6578442016142,48.333333,2.90415673953153
Haret Hreik,21144,25.0714285714286,51.0,2.88095238095238
Laylakeh,21166,25.5010503006727,62.0,3.55034479667672
Bourj El-Brajneh,21177,24.8730158730159,51.0,2.88095238095238
Tahouitat El Ghadir,21188,25.1269841269841,62.0,3.22222222222222
Baabda,21211,25.6746031746032,72.5,2.22619047619048
Hadath Beyrouth,21219,25.172619047619,62.0,3.10714285714286
Boutchay,21227,25.6871590324113,51.0,2.6824637541063
Merdache,21235,25.6718513202291,51.0,3.55778979227335
Louayzeh Baabda,21243,26.6344989576017,72.5,1.98745028025445
Kfar Chima,21251,25.4523809523809,62.0,3.44047619047619
Ouadi Chahrour Es-Soufla,21259,25.9761904761905,62.0,2.44047619047619
Ouadi Chahrour El Aaoulia,21267,26.6666666666667,62.0,2.5
Haret Es-Sit,21275,26.6463077140421,62.0,1.93618785326399
Bsaba Baabda,21283,25.4511526919102,62.0,2.29366572297212
Baalchmay,21311,28.3015873015873,62.0,0.19047619047619
Aain Mouaffaq,21314,28.0,51.0,0.476190476190476
Rouayssrt El-Ballout,21317,28.2748749428935,51.0,0.683521716525995
Mzairaa Baabda,21321,28.04201248713,51.0,0.932872257405001
Hlaliyeh Baabda,21324,28.8125436677366,51.0,0.801200002900755
Haret Hamzeh,21327,28.452380952381,62.0,0.928571428571429
Qtaleh Baabda,21331,28.9365079365079,51.0,0.904761904761905
Ras El-Href,21334,28.8333333333333,62.0,0.285714285714286
