ADM2_Name,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night
Akkar,16,29,344,48,8.700000000000001,38.4
Aley,15,124,150,19,93.4,58.599999999999994
Baabda,26,427,697,58,92.5,0.0
Baalbek,13,862,191,81,35.0,64.8
El Batroun,3,3,35,2,49.2,0.7
Beirut,16,212,500,14,94.2,45.5
Bent Jbeil,1,1591,39,73,65.4,69.2
Bcharre,0,0,8,2,7.2,1.2
Chouf,2,69,67,11,98.0,77.8
Hasbaya,1,941,11,6,98.7,69.6
El Hermel,3,237,45,33,84.2,64.6
Jbeil,4,13,49,13,19.4,1.5
Jezzine,2,731,12,3,88.0,3.8
Kesrwane,10,8,171,17,100.0,30.1
El Koura,0,15,79,2,100.0,8.0
Marjaayoun,1,1583,40,114,91.4,90.30000000000001
El Meten,14,4,180,19,99.30000000000001,38.8
El Minieh-Dennie,9,48,244,17,87.5,4.9
El Nabatieh,6,2805,56,73,56.0,75.5
Rachaya,0,111,9,4,59.5,67.7
Saida,14,1455,217,56,95.7,62.300000000000004
Tripoli,28,117,1227,46,87.8,65.5
Sour,2,1805,122,56,93.8,98.1
West Bekaa,8,192,33,6,84.9,86.3
Zahle,15,76,113,30,85.3,31.2
Zgharta,6,5,53,5,59.099999999999994,33.1
