ADM2_Name,Forest fire risk,Annual Dry Spell Length,Consecutive Dry Days,Consecutive Wet Days,Days withh at least 10 mm rainfall,Days withh at least 20 mm rainfall,Very Hot Days (Tmax > 35°C),Hot days (Tmax > 30°C)
Akkar,142,25.7702049373207,123.115246,8.091763,27.687256,10.776996,3.981728,24.958344
Aley,73,27.0349120780387,145.652298,7.6168,29.011656,14.12098,1.588167,27.277121
Baabda,51,27.3524504692388,144.495595,7.79972,28.740889,13.716993,1.414079,27.256836
Baalbek,8,28.9382133018496,134.209041,8.056698,22.073775,7.698019,0.729441,27.798217
Bcharre,19,25.4761904761905,126.775366,8.761485,30.289422,12.703735,0.03255,25.784295
Beirut,0,24.3993855606759,144.119995,7.62,29.309999,14.63,2.115,24.548683
Bent Jbeil,35,15.7889697433933,158.366032,7.540609,25.251898,12.344519,1.479385,15.769302
Chouf,93,24.208315565032,147.996651,7.665351,29.190259,14.531142,1.259629,24.489405
El Batroun,72,25.8115995115995,127.904984,8.579356,30.320616,14.047859,0.083363,25.937669
El Hermel,4,28.3981981981982,126.471559,8.093047,24.358886,8.344957,0.947092,27.488837
El Koura,41,28.3247619047619,126.573729,8.380686,29.911931,13.559408,0.217811,27.881357
El Meten,94,26.18105562008,140.776892,8.008035,29.054467,13.93761,0.98686,26.690407
El Minieh-Dennie,53,25.7887715397443,125.441807,8.189968,30.167556,12.428436,0.514184,25.855961
El Nabatieh,42,17.0496264079402,154.991151,7.513292,27.877129,14.141758,1.47625,17.544267
Hasbaya,23,26.3764356691186,153.642715,7.648558,26.93141,12.987917,1.782639,26.2703
Jbeil,92,24.8884103054957,130.613938,8.594135,30.470139,14.315855,0.080157,25.106205
Jezzine,74,22.6033613445378,151.842249,7.662271,28.964583,14.72473,1.206976,21.757724
Kesrwane,74,25.1321873147599,135.043213,8.342791,29.742176,14.263973,0.41222,25.744068
Marjaayoun,25,21.7988841313092,155.969137,7.531577,26.571558,13.038557,1.898949,21.346075
Rachaya,9,33.4313067263459,150.920966,7.73435,24.624104,10.656766,1.625727,31.754863
Saida,50,14.4558531746032,153.883142,7.528528,28.1025,14.375214,1.450013,15.337723
Sour,55,13.7679714119505,158.965025,7.521935,25.589481,12.584747,1.404926,13.851043
Tripoli,1,32.5006105006105,125.043571,8.194077,29.440154,13.046654,0.378269,32.104416
West Bekaa,13,31.8028236420196,148.194396,7.820567,26.576898,11.905321,1.581175,31.055875
Zahle,5,30.0430358113882,144.168319,7.98578,24.302525,9.573078,1.52612,30.444573
Zgharta,31,26.6884841586037,126.317055,8.269665,30.053089,12.817174,0.308585,26.849416
