ADM2_Name,Reported incidents of gender-based violence,Service access difficulty (female),Safety at night (female),Fear of movement or travel (female),Reports of harassment or violence,Trust in the court system,Female unemployment rate
Akkar,6,57.800000000000004,42.4,4.8999999999999995,31.900000000000002,34.4,11.3
Aley,6,17.5,71.9,98.8,4.8999999999999995,100.0,22.9
Baabda,11,0.0,13.1,87.19999999999999,66.5,88.89999999999999,13.3
Baalbek,6,16.900000000000002,67.2,31.900000000000002,3.9,45.7,17.9
El Batroun,1,23.5,0.0,56.7,0.0,32.2,12.2
Beirut,20,9.1,62.6,95.6,35.2,84.6,12.9
Bent Jbeil,0,37.5,85.0,79.39999999999999,16.200000000000003,7.3999999999999995,12.4
Bcharre,0,81.3,0.0,0.0,0.0,94.39999999999999,30.2
Chouf,9,1.1,95.5,99.0,23.1,97.0,17.6
Hasbaya,1,0.0,72.6,100.0,9.6,95.5,15.3
El Hermel,0,0.0,60.4,85.5,8.4,85.5,14.3
Jbeil,2,26.900000000000002,0.0,0.0,0.0,98.39999999999999,15.8
Jezzine,0,0.0,0.0,89.19999999999999,2.8000000000000003,22.1,10.9
Kesrwane,12,0.4,31.6,100.0,5.699999999999999,80.19999999999999,10.3
El Koura,1,0.0,3.5,100.0,0.0,87.1,21.0
Marjaayoun,2,41.0,66.2,97.1,7.699999999999999,57.2,19.7
El Meten,14,21.0,46.3,100.0,1.9000000000000001,93.0,7.8
El Minieh-Dennie,5,0.0,3.8,89.0,100.0,28.6,31.7
El Nabatieh,6,7.1,10.5,85.89999999999999,0.0,56.4,14.2
Rachaya,3,0.0,70.5,42.9,6.8999999999999995,54.1,25.7
Saida,8,57.4,82.1,97.89999999999999,45.6,90.6,15.9
Tripoli,29,57.300000000000004,70.8,89.19999999999999,90.1,8.7,16.5
Sour,5,0.0,19.4,95.19999999999999,4.8999999999999995,33.9,14.6
West Bekaa,2,0.0,95.3,90.8,38.2,93.3,15.9
Zahle,3,6.8,33.6,85.0,0.7,20.400000000000002,15.0
Zgharta,1,2.5,45.9,48.4,4.8999999999999995,97.39999999999999,23.5
