ACS_Code,Tension
10110,No Tension/No Record
10650,Moderate
10350,Moderate
10999,Moderate
10450,No Tension/No Record
10310,High
10610,No Tension/No Record
10250,No Tension/No Record
10210,Low
10150,Moderate
10550,No Tension/No Record
10510,No Tension/No Record
10410,Moderate
24454,No Tension/No Record
21341,Low
26256,No Tension/No Record
24375,No Tension/No Record
25423,No Tension/No Record
22551,No Tension/No Record
24259,No Tension/No Record
22471,No Tension/No Record
24477,No Tension/No Record
24219,No Tension/No Record
26221,No Tension/No Record
25463,No Tension/No Record
24325,No Tension/No Record
24431,No Tension/No Record
26317,No Tension/No Record
22543,No Tension/No Record
22777,No Tension/No Record
22523,No Tension/No Record
25251,No Tension/No Record
24317,No Tension/No Record
22737,No Tension/No Record
22727,No Tension/No Record
22563,No Tension/No Record
22714,No Tension/No Record
26227,No Tension/No Record
26289,No Tension/No Record
24371,No Tension/No Record
21314,No Tension/No Record
23627,No Tension/No Record
23619,No Tension/No Record
22423,No Tension/No Record
24361,No Tension/No Record
23469,No Tension/No Record
23533,No Tension/No Record
25211,No Tension/No Record
24311,Low
24365,No Tension/No Record
26219,No Tension/No Record
23311,No Tension/No Record
26212,No Tension/No Record
26214,No Tension/No Record
22343,No Tension/No Record
26141,No Tension/No Record
23639,No Tension/No Record
23427,No Tension/No Record
23239,No Tension/No Record
25171,No Tension/No Record
26371,No Tension/No Record
26374,No Tension/No Record
21371,No Tension/No Record
24211,Low
25327,No Tension/No Record
26392,No Tension/No Record
21381,No Tension/No Record
22555,No Tension/No Record
23544,No Tension/No Record
24351,No Tension/No Record
22635,No Tension/No Record
22767,No Tension/No Record
24329,No Tension/No Record
25361,No Tension/No Record
22575,No Tension/No Record
25156,No Tension/No Record
26239,No Tension/No Record
26364,No Tension/No Record
22751,No Tension/No Record
25271,No Tension/No Record
22311,No Tension/No Record
21471,No Tension/No Record
21211,No Tension/No Record
22659,No Tension/No Record
23631,No Tension/No Record
21311,No Tension/No Record
24235,No Tension/No Record
23511,No Tension/No Record
23255,No Tension/No Record
25221,No Tension/No Record
22228,Low
23251,Low
23679,No Tension/No Record
22797,No Tension/No Record
23675,No Tension/No Record
25325,No Tension/No Record
23663,No Tension/No Record
23687,No Tension/No Record
24343,Low
26299,No Tension/No Record
24243,Low
26244,No Tension/No Record
23423,No Tension/No Record
24283,No Tension/No Record
24434,No Tension/No Record
26259,No Tension/No Record
24327,No Tension/No Record
22531,No Tension/No Record
22459,No Tension/No Record
23411,No Tension/No Record
22451,No Tension/No Record
26271,No Tension/No Record
22667,No Tension/No Record
26276,No Tension/No Record
26297,No Tension/No Record
23263,No Tension/No Record
25431,No Tension/No Record
25443,No Tension/No Record
26183,No Tension/No Record
24414,No Tension/No Record
24411,No Tension/No Record
22535,No Tension/No Record
26243,No Tension/No Record
22511,No Tension/No Record
24369,No Tension/No Record
26269,No Tension/No Record
23451,No Tension/No Record
26237,No Tension/No Record
25369,No Tension/No Record
23253,No Tension/No Record
24321,No Tension/No Record
23356,No Tension/No Record
26129,No Tension/No Record
24267,No Tension/No Record
24484,No Tension/No Record
24319,No Tension/No Record
21436,No Tension/No Record
26283,No Tension/No Record
22724,No Tension/No Record
23615,No Tension/No Record
24355,No Tension/No Record
25166,No Tension/No Record
26354,No Tension/No Record
21177,High
25313,No Tension/No Record
22111,Moderate
23247,No Tension/No Record
21227,No Tension/No Record
25451,No Tension/No Record
23457,No Tension/No Record
25176,No Tension/No Record
22431,No Tension/No Record
26253,No Tension/No Record
23459,No Tension/No Record
22611,No Tension/No Record
21283,No Tension/No Record
23386,No Tension/No Record
22439,No Tension/No Record
24464,No Tension/No Record
22691,No Tension/No Record
24291,No Tension/No Record
24421,No Tension/No Record
24447,No Tension/No Record
22757,No Tension/No Record
21441,No Tension/No Record
21451,No Tension/No Record
22359,No Tension/No Record
21466,No Tension/No Record
25337,No Tension/No Record
25351,No Tension/No Record
26279,No Tension/No Record
23223,No Tension/No Record
24417,No Tension/No Record
22559,No Tension/No Record
24444,No Tension/No Record
24353,No Tension/No Record
21426,No Tension/No Record
23211,Low
26295,No Tension/No Record
24339,No Tension/No Record
21111,Moderate
23275,No Tension/No Record
21347,No Tension/No Record
26296,No Tension/No Record
25315,No Tension/No Record
25479,No Tension/No Record
22764,No Tension/No Record
24111,High
24155,Moderate
24133,Low
22754,No Tension/No Record
21354,No Tension/No Record
23453,No Tension/No Record
22591,No Tension/No Record
26009,No Tension/No Record
26008,No Tension/No Record
26007,No Tension/No Record
26006,No Tension/No Record
26005,No Tension/No Record
26004,No Tension/No Record
26003,No Tension/No Record
26002,No Tension/No Record
26001,No Tension/No Record
25003,No Tension/No Record
25002,No Tension/No Record
25001,No Tension/No Record
24009,No Tension/No Record
24008,No Tension/No Record
24007,No Tension/No Record
24006,No Tension/No Record
24005,No Tension/No Record
24004,No Tension/No Record
24003,No Tension/No Record
24002,No Tension/No Record
24001,No Tension/No Record
23007,No Tension/No Record
23006,No Tension/No Record
23005,No Tension/No Record
23004,No Tension/No Record
23003,No Tension/No Record
23002,No Tension/No Record
23001,No Tension/No Record
22002,No Tension/No Record
22001,No Tension/No Record
23279,No Tension/No Record
22675,No Tension/No Record
23219,No Tension/No Record
23111,Low
24251,No Tension/No Record
25347,No Tension/No Record
23227,No Tension/No Record
25241,No Tension/No Record
22415,No Tension/No Record
22375,No Tension/No Record
23346,No Tension/No Record
23435,No Tension/No Record
25335,No Tension/No Record
22579,No Tension/No Record
23522,No Tension/No Record
21367,No Tension/No Record
23413,No Tension/No Record
