adm2_name,adm2_name1,Mean annual hot days,Forest fire risk,Annual Dry Spell Length,Consecutive Dry Days_mean,Consecutive Wet Days_mean,Days withh at least 10 mm rainfall_mean,Days withh at least 20 mm rainfall_mean,Very Hot Days (Tmax > 35°C)_mean,Hot days (Tmax > 30°C)_mean
Beirut,بيروت,1.54992319508449,0,24.3993855606759,144.119995,7.620000,29.309999,14.630000,2.115000,24.548683
Baalbek,بعلبك,3.04447068083433,8,28.9382133018496,134.209041,8.056698,22.073775,7.698019,0.729441,27.798217
El Hermel,الهرمل,2.56222651222651,4,28.3981981981982,126.471559,8.093047,24.358886,8.344957,0.947092,27.488837
Rachaya,راشيا,0.63042397115504,9,33.4313067263459,150.920966,7.734350,24.624104,10.656766,1.625727,31.754863
West Bekaa,البقاع الغربي,1.20826353992183,13,31.8028236420196,148.194396,7.820567,26.576898,11.905321,1.581175,31.055875
Zahle,زحلة,2.77324632952691,5,30.0430358113882,144.168319,7.985780,24.302525,9.573078,1.526120,30.444573
Aley,عاليه,0.863047105634707,73,27.0349120780387,145.652298,7.616800,29.011656,14.120980,1.588167,27.277121
Baabda,بعبدا,0.775808133472368,51,27.3524504692388,144.495595,7.799720,28.740889,13.716993,1.414079,27.256836
Chouf,الشوف,0.608599857853589,93,24.208315565032,147.996651,7.665351,29.190259,14.531142,1.259629,24.489405
Jbeil,جبيل,0.0134003350083752,92,24.8884103054957,130.613938,8.594135,30.470139,14.315855,0.080157,25.106205
Kesrwane,كسروان,0.106994665085951,74,25.1321873147599,135.043213,8.342791,29.742176,14.263973,0.412220,25.744068
El Meten,المتن,0.47606142728094,94,26.18105562008,140.776892,8.008035,29.054467,13.937610,0.986860,26.690407
Bent Jbeil,بنت جبيل,0.476190476190476,35,15.7889697433933,158.366032,7.540609,25.251898,12.344519,1.479385,15.769302
Hasbaya,حاصبيا,1.78255258743064,23,26.3764356691186,153.642715,7.648558,26.931410,12.987917,1.782639,26.270300
Marjaayoun,مرجعيون,1.10704554301284,25,21.7988841313092,155.969137,7.531577,26.571558,13.038557,1.898949,21.346075
El Nabatieh,النبطية,0.322850451656072,42,17.0496264079402,154.991151,7.513292,27.877129,14.141758,1.476250,17.544267
Akkar,عكار,5.12505882856287,142,25.7702049373207,123.115246,8.091763,27.687256,10.776996,3.981728,24.958344
El Batroun,البترون,0.002075702075702,72,25.8115995115995,127.904984,8.579356,30.320616,14.047859,0.083363,25.937669
Bcharre,بشري,0.0047826991058432,19,25.4761904761905,126.775366,8.761485,30.289422,12.703735,0.032550,25.784295
El Koura,الكورة,0.104571428571428,41,28.3247619047619,126.573729,8.380686,29.911931,13.559408,0.217811,27.881357
El Minieh-Dennie,المنية الضنية,0.798035945895867,53,25.7887715397443,125.441807,8.189968,30.167556,12.428436,0.514184,25.855961
Tripoli,طرابلس,0.697191697191697,1,32.5006105006105,125.043571,8.194077,29.440154,13.046654,0.378269,32.104416
Zgharta,زغرتا,0.774426105103396,31,26.6884841586037,126.317055,8.269665,30.053089,12.817174,0.308585,26.849416
Saida,صيدا,0.139012896825397,50,14.4558531746032,153.883142,7.528528,28.102500,14.375214,1.450013,15.337723
Jezzine,جزين,0.393557422969189,74,22.6033613445378,151.842249,7.662271,28.964583,14.724730,1.206976,21.757724
Sour,صور,0.0121333000914153,55,13.7679714119505,158.965025,7.521935,25.589481,12.584747,1.404926,13.851043
