ADM2_Name,adm2_name_HDX,Resident_Population (R),Displaced_Population (D),Heterogeneity (H),Displacement_Ratio (S = D/R),Demographic_Factor (DF = S*H),norm_Resident_Population (R),norm_Displaced_Population (D),norm_Heterogeneity (H),norm_Displacement_Ratio (S = D/R),norm_Demographic_Factor (DF = S*H),weight_Resident_Population (R),weight_Displaced_Population (D),weight_Heterogeneity (H),weight_Displacement_Ratio (S = D/R),weight_Demographic_Factor (DF = S*H),weighted_Resident_Population (R),weighted_Displaced_Population (D),weighted_Heterogeneity (H),weighted_Displacement_Ratio (S = D/R),weighted_Demographic_Factor (DF = S*H),composite_score
Akkar,Akkar,2866.261628,91.85465116,0.201164078,0.043141376,0.008763285,0.107743788,0.007066061,0.197577098,0.025609827,0.014424335,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.010774379,0.001473465,0.046560804,0.005757248,0.003332133,0.06789803
Aley,Aley,3735.869048,1632.107143,0.301626535,0.461512158,0.145648073,0.145700203,0.129083024,0.393226801,0.279474538,0.244665204,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.01457002,0.026917313,0.092667401,0.062827609,0.056519559,0.253501902
Baabda,Baabda,9389.180328,580.704918,0.344853056,0.355408183,0.0940857,0.39245457,0.045792195,0.477410049,0.215091325,0.157937046,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.039245457,0.009548915,0.112505934,0.048353864,0.036484682,0.246138852
Baalbek,Baalbek,3730.257426,103.3564356,0.184353702,0.074708806,0.013789887,0.145455268,0.007977218,0.164839046,0.044764742,0.022879103,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.014545527,0.001663466,0.038845791,0.010063392,0.00528525,0.070403426
Batroun,El Batroun,912.2253521,103.0422535,0.218740895,0.144568452,0.030107366,0.022454484,0.007952329,0.231807786,0.087155127,0.050325181,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.002245448,0.001658276,0.054627571,0.019593013,0.011625507,0.089749816
Bcharre,Bcharre,962,20.13043478,0.148936394,0.039998859,0.008515087,0.024627035,0.001384154,0.095864168,0.023702968,0.014006865,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.002462704,0.000288634,0.022591246,0.005328574,0.003235694,0.033906851
Bekaa Ouest,West Bekaa,2870.045455,67.31818182,0.257476899,0.658772635,0.15546255,0.107908943,0.005122311,0.307245794,0.399170932,0.261173201,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.010790894,0.001068141,0.07240521,0.089736101,0.060333034,0.23433338
Bent Jbail,Bent Jbeil,1756.710526,2.657894737,0.09971194,0.000936205,0.000187605,0.059314369,0,0,0,0,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.005931437,0,0,0,0,0.005931437
Beyrouth,Beirut,23308.46154,12625.92308,0.613193205,0.975868428,0.594716233,1,1,1,0.591582627,1,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.1,0.208527132,0.235658915,0.132991443,0.231007752,0.908185242
Chouf,Chouf,2628.777778,1143.232323,0.261851944,0.311074658,0.090263516,0.09737815,0.090354945,0.315766154,0.188190027,0.151508114,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.009737815,0.018841457,0.074413109,0.042306285,0.034999549,0.180298215
El Metn,El Meten,4860.824742,200.4639175,0.382504742,0.05198022,0.019314589,0.194801998,0.015669957,0.550736358,0.030973181,0.032171679,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.0194802,0.003267611,0.129785933,0.006962963,0.007431907,0.166928614
Hasbaiya,Hasbaya,1224.25,68.66666667,0.218159589,0.062277766,0.023040949,0.03607366,0.005229136,0.230675698,0.037221666,0.038439434,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.003607366,0.001090417,0.054360785,0.008367661,0.008879807,0.076306036
Hermel,El Hermel,4051.285714,117.7857143,0.221329845,0.1090522,0.014322792,0.159467433,0.009120288,0.236849742,0.065604093,0.023775452,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.015946743,0.001901828,0.055815753,0.014748207,0.005492314,0.093904845
Jbail,Jbeil,1230.682243,223.1214953,0.223150572,1.648943056,0.27880008,0.036354413,0.017464863,0.240395591,1,0.468627517,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.003635441,0.003641898,0.056651364,0.224806202,0.108256589,0.396991494
Jezzine,Jezzine,397.7777778,83.41975309,0.273540755,0.32606669,0.11879906,0,0.006397858,0.338530005,0.197287096,0.199505035,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0,0.001334127,0.079777613,0.044351363,0.04608721,0.171550313
Kesrouane,Kesrwane,3176.085366,197.9268293,0.237390811,0.085975594,0.015919346,0.1212669,0.015468972,0.268128324,0.051601356,0.026460864,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.01212669,0.0032257,0.06318683,0.011600305,0.006112665,0.09625219
Koura,El Koura,2139.575,126.45,0.292298318,0.209335883,0.061089539,0.076025545,0.009806663,0.375060185,0.12645559,0.102437345,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.007602555,0.002044955,0.088386276,0.028428001,0.023663821,0.150125607
Marjayoun,Marjaayoun,1016.837838,9.135135135,0.187479554,0.015172501,0.005804133,0.027020584,0.000513119,0.170926614,0.008638493,0.009447027,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.002702058,0.000106999,0.04028038,0.001941987,0.002182336,0.047213761
Minie-Danniye,El Minieh-Dennie,1999.864407,136.4237288,0.142528425,0.044348922,0.004918003,0.069927491,0.01059677,0.083384707,0.026342559,0.007956552,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.006992749,0.002209714,0.01965035,0.005921971,0.001838025,0.036612808
Nabatiye,El Nabatieh,4374.102041,45.10204082,0.158023359,0.017870179,0.00369097,0.173557643,0.003362375,0.113560948,0.010275427,0.005892677,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.017355764,0.000701146,0.02676165,0.00230998,0.001361254,0.048489794
Rachaiya,Rachaya,859.6904762,73.23809524,0.184763427,0.105794293,0.023916384,0.020161454,0.005591279,0.165636982,0.063627216,0.03991192,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.002016145,0.001165933,0.039033831,0.014303793,0.009219963,0.065739666
Saida,Saida,4508.512821,939.3333333,0.235570826,0.140111298,0.044719337,0.179424372,0.07420231,0.26458392,0.084450555,0.074902587,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.017942437,0.015473195,0.062351559,0.018985008,0.017303078,0.132055278
Sour,Sour,3573.128205,182.3846154,0.128046617,0.002972546,0.001882657,0.13859693,0.014237736,0.055181521,0.001235639,0.002851086,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.013859693,0.002968954,0.013004017,0.000277779,0.000658623,0.030769067
Tripoli,Tripoli,18057.4375,308.5,0.235591096,0.008420787,0.000612806,0.770804569,0.024228447,0.264623396,0.004541596,0.00071519,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.077080457,0.005052288,0.062360862,0.001020979,0.000165214,0.145679801
Zahle,Zahle,4487.353846,252.6615385,0.40546512,0.047273037,0.021604491,0.17850083,0.01980499,0.595451482,0.028116893,0.036023305,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.017850083,0.004129878,0.14032345,0.006320852,0.008321663,0.176945925
Zgharta,Zgharta,1714.326923,68.55769231,0.209347528,0.046930621,0.010375918,0.05746442,0.005220503,0.213514291,0.027909117,0.017136791,0.1,0.208527132,0.235658915,0.224806202,0.231007752,0.005746442,0.001088617,0.050316546,0.006274143,0.003958732,0.067384479
