ADM2_Name,Displacement Pressure,Socioeconomic Vulnerability,Tension and Conflict Risk,Service & Infrastructure Vulnerability,Demographic Tension / Stress
Akkar,0.022493052,0.810801203,0.37166380174130526,0.5354481957174678,0.011869462
Baalbek,0.038351067,0.658152056,0.47749980596642994,0.48684375898392523,0.018316439
El Hermel,0.011184104,0.437542212,0.208641131043723,0.5296203376057116,0.001695387
Beirut,1.275289245,0.280471259,0.4133292663986067,0.696187816275346,0.912994607
Rachaya,0.04905504,0.41977781,0.18379808643588857,0.5120195400339463,0.035058391
West Bekaa,0.013128624,0.526197846,0.3078685816650668,0.44006412900205916,0.008060728
Zahle,0.023298917,0.516605236,0.341453261651859,0.25768998461851594,0.01881687
Bent Jbeil,0.001483775,0.406727421,0.1469642135427619,0.1149250792260807,0.000333975
El Nabatieh,0.014372917,0.216402243,0.1951277871783917,0.5734611705445926,0.001746863
Hasbaya,0.07425076,0.312185647,0.1880082145738106,0.4434157490102714,0.042273929
Marjaayoun,0.004541113,0.386421837,0.1975243710662582,0.1463230754560205,0.001329399
Aley,0.467490634,0.322683118,0.36020804521522753,0.7858298998569097,0.309951904
Baabda,0.22276307,0.407631778,0.6173466126615818,0.5659590417723609,0.173487076
Chouf,0.494977547,0.270660322,0.26926954766298494,0.6288360372989843,0.372884538
El Meten,0.047564689,0.153257375,0.2978411199491641,0.5666194849274773,0.036042835
Jbeil,0.207756176,0.428842514,0.09027146003576131,0.22684595907626992,0.108656326
Kesrwane,0.11444085,0.531609418,0.30725140330289213,0.745277867876061,0.051722781
Bcharre,0.013895498,0.268623802,0.009746460839142386,0.15245083936351214,0.001540296
El Batroun,0.00862587,0.262830093,0.07380919599880766,0.12591634252812656,0.004915775
El Koura,0.062352904,0.560311285,0.11567387101722647,0.7696765724788904,0.037238887
El Minieh-Dennie,0.04586916,0.328247173,0.32447520212824404,0.4352138668365213,0.011397852
Tripoli,0.036788222,0.386573526,0.7674353552767068,0.6280253110111825,0.011114337
Zgharta,0.160260307,0.361355854,0.16073941755850207,0.2717528919918047,0.064208322
Jezzine,0.188679579,0.158788966,0.11058360089600194,0.12645845120910784,0.117727256
Saida,0.53923865,0.398084073,0.32258442174013946,0.6233758180206286,0.329189627
Sour,0.10254168,0.624656133,0.30464857302220183,0.529821132726658,0.03081522
