ADM1_NAME,ADM2_Name,Displacement Pressure,Socioeconomic Vulnerability,Tension and Conflict Risk,Service & Infrastructure Vulnerability,Demographic Tension / Stress
Akkar,Akkar,0.022493052,0.810801203,0.371663802,0.535448196,0.011869462
Baalbek-El Hermel,Baalbek,0.038351067,0.658152056,0.477499806,0.486843759,0.018316439
Baalbek-El Hermel,El Hermel,0.011184104,0.437542212,0.208641131,0.529620338,0.001695387
Beirut,Beirut,1.275289245,0.280471259,0.413329266,0.696187816,0.912994607
Bekaa,Rachaya,0.04905504,0.41977781,0.183798086,0.51201954,0.035058391
Bekaa,West Bekaa,0.013128624,0.526197846,0.307868582,0.440064129,0.008060728
Bekaa,Zahle,0.023298917,0.516605236,0.341453262,0.257689985,0.01881687
El Nabatieh,Bent Jbeil,0.001483775,0.406727421,0.146964214,0.114925079,0.000333975
El Nabatieh,El Nabatieh,0.014372917,0.216402243,0.195127787,0.573461171,0.001746863
El Nabatieh,Hasbaya,0.07425076,0.312185647,0.188008215,0.443415749,0.042273929
El Nabatieh,Marjaayoun,0.004541113,0.386421837,0.197524371,0.146323075,0.001329399
Mount Lebanon,Aley,0.467490634,0.322683118,0.360208045,0.7858299,0.309951904
Mount Lebanon,Baabda,0.22276307,0.407631778,0.617346613,0.565959042,0.173487076
Mount Lebanon,Chouf,0.494977547,0.270660322,0.269269548,0.628836037,0.372884538
Mount Lebanon,El Meten,0.047564689,0.153257375,0.29784112,0.566619485,0.036042835
Mount Lebanon,Jbeil,0.207756176,0.428842514,0.09027146,0.226845959,0.108656326
Mount Lebanon,Kesrwane,0.11444085,0.531609418,0.307251403,0.745277868,0.051722781
North,Bcharre,0.013895498,0.268623802,0.009746461,0.152450839,0.001540296
North,El Batroun,0.00862587,0.262830093,0.073809196,0.125916343,0.004915775
North,El Koura,0.062352904,0.560311285,0.115673871,0.769676572,0.037238887
North,El Minieh-Dennie,0.04586916,0.328247173,0.324475202,0.435213867,0.011397852
North,Tripoli,0.036788222,0.386573526,0.767435355,0.628025311,0.011114337
North,Zgharta,0.160260307,0.361355854,0.160739418,0.271752892,0.064208322
South,Jezzine,0.188679579,0.158788966,0.110583601,0.126458451,0.117727256
South,Saida,0.53923865,0.398084073,0.322584422,0.623375818,0.329189627
South,Sour,0.10254168,0.624656133,0.304648573,0.529821133,0.03081522
