rank,ADM2_Name,ADM2_Name,Nighttime light radiance,HDS,Negative coping tendency,Unemployment rate,Population dependency ratio,Food insecurity level (IPC),norm_Nighttime light radiance,norm_HDS,norm_Negative coping tendency,norm_Unemployment rate,norm_Population dependency ratio,norm_Food insecurity level (IPC),weight_Nighttime light radiance,weight_HDS,weight_Negative coping tendency,weight_Unemployment rate,weight_Population dependency ratio,weight_Food insecurity level (IPC),weighted_Nighttime light radiance,weighted_HDS,weighted_Negative coping tendency,weighted_Unemployment rate,weighted_Population dependency ratio,weighted_Food insecurity level (IPC),composite_score
1,Akkar,Akkar,1.72757467,0.74189455,17.9,9.3,57.4,0.27,0.014148958938965306,0.8825533178801281,0.9649122807017543,0.2056074766355141,0.5411764705882355,0.7777777777777778,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.0027592593080243877,0.2326309992260709,0.1015308838908171,0.01027649314892038,0.07413535314852486,0.19382463837900465,0.6151576271013623
2,Hermel,Hermel,0.559304811,0.800501183,3.9,10.2,55.8,0.33,0.0,1.0,0.14619883040935672,0.2897196261682242,0.35294117647058826,1.0,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.0,0.2635886065046415,0.01538346725618441,0.01448051307347871,0.04834914335773359,0.2492031064872917,0.5910048366793299
3,Baalbek,Baalbek,0.857504775,0.741293687,5.0,11.1,55.8,0.33,0.0036115106571767966,0.8813491987873524,0.21052631578947367,0.37383177570093457,0.35294117647058826,1.0,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.0007042987713676328,0.23231360715234048,0.02215219284890555,0.01868453299803705,0.04834914335773359,0.2492031064872917,0.571406881615676
4,Beyrouth,Beyrouth,83.12862062,0.559063822,13.6,11.6,61.3,0.06,1.0,0.5161636910752443,0.7134502923976607,0.42056074766355134,1.0,0.0,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.1950150056924378,0.1360548680588159,0.07507132021017991,0.021020099622791676,0.1369892395135785,0.0,0.5641505330978038
5,Tripoli,Tripoli,32.16583925,0.745015844,18.5,11.6,55.3,0.13,0.38278789316981243,0.8888083372432206,1.0,0.42056074766355134,0.29411764705882354,0.25925925925925924,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.07464938316550725,0.23427975106364798,0.10522291603230137,0.021020099622791676,0.040290952798111325,0.06460821279300155,0.5400713154753611
6,Bekaa Ouest,Bekaa Ouest,2.355033416,0.604434485,11.4,12.3,60.3,0.24,0.02174813473268803,0.6070857175108668,0.5847953216374269,0.485981308411215,0.8823529411764706,0.6666666666666666,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.004241212618695061,0.16002087830755982,0.06153386902473764,0.024289892897448165,0.12087285839433397,0.16613540432486112,0.5370941155676359
7,Minie-Danniye,Minie-Danniye,2.422193107,0.6963446,12.8,17.8,55.3,0.23,0.022561508203716354,0.7912720033875165,0.6666666666666666,1.0,0.29411764705882354,0.6296296296296297,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.004399832650777727,0.20857028473905143,0.07014861068820091,0.049981125769749106,0.040290952798111325,0.15690565964014663,0.5302964662860372
8,Zahle,Zahle,5.922806029,0.624973215,6.1,14.4,60.3,0.22,0.06495755917860449,0.6482449783313253,0.2748538011695906,0.6822429906542056,0.8823529411764706,0.5925925925925926,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.01266769877298242,0.17086999051198556,0.028920918441626683,0.03409927272141761,0.12087285839433397,0.1476759149554321,0.5151066537977784
9,Marjayoun,Marjayoun,1.869856657,0.565645921,5.5,16.6,60.7,0.21,0.015872141281048992,0.5293541039920642,0.239766081871345,0.8878504672897197,0.929411764705883,0.5555555555555555,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.003095305722274946,0.13953171061878128,0.02522888630014243,0.044375765870337994,0.12731941084203188,0.1384461702707176,0.47799724962428614
10,Bent Jbail,Bent Jbail,2.388672392,0.631030171,1.9,10.6,60.7,0.21,0.022155537599847716,0.6603830137299133,0.029239766081871343,0.32710280373831774,0.929411764705883,0.5555555555555555,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.004320662291153322,0.17406943834840338,0.003076693451236882,0.01634896637328242,0.12731941084203188,0.1384461702707176,0.4635813415768255
