rank,ADM2_Name,ADM2_Name,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night,norm_Inter-sectarian and inter-communal conflict incidents,norm_Number of violent incidents,norm_Number of crime incidents,norm_Number of fatalities in tension incidents,norm_Fear of traveling within Lebanon safely,norm_Feeling lack of safety during the night,weight_Inter-sectarian and inter-communal conflict incidents,weight_Number of violent incidents,weight_Number of crime incidents,weight_Number of fatalities in tension incidents,weight_Fear of traveling within Lebanon safely,weight_Feeling lack of safety during the night,weighted_Inter-sectarian and inter-communal conflict incidents,weighted_Number of violent incidents,weighted_Number of crime incidents,weighted_Number of fatalities in tension incidents,weighted_Fear of traveling within Lebanon safely,weighted_Feeling lack of safety during the night,composite_score
1,Tripoli,Tripoli,28.0,117.0,1227.0,45.0,87.8,65.5,1.0,0.04171122994652406,1.0,0.5921052631578947,0.8685344827586207,0.6676860346585117,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.23026121799024707,0.004620536756129848,0.22859260085896427,0.11179895271868119,0.07910483522200346,0.1004715552282223,0.7548496987742481
2,Baabda,Baabda,26.0,427.0,697.0,58.0,92.5,0.0,0.9285714285714286,0.15222816399286987,0.5652173913043478,0.7631578947368421,0.9191810344827586,0.0,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.21381398813380087,0.016862984571516623,0.1292045135289798,0.14409642794852243,0.08371764819400614,0.0,0.5876955623768259
3,Baalbek,Baalbek,13.0,862.0,191.0,76.0,35.0,64.8,0.4642857142857143,0.3073083778966132,0.1501230516817063,1.0,0.2995689655172414,0.6605504587155964,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.10690699406690043,0.03404190328020452,0.034317018832805954,0.1888160090359949,0.027284298004611615,0.09939781341662299,0.4907640366371404
4,Beyrouth,Beyrouth,16.0,212.0,500.0,14.0,94.2,45.5,0.5714285714285714,0.07557932263814617,0.4036095159967186,0.18421052631578946,0.9375,0.46381243628950053,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.13157783885156973,0.008372254635038698,0.09226214899311766,0.03478189640136748,0.0853861124604752,0.06979321775395596,0.4221734690955248
5,Saida,Saida,14.0,1455.0,217.0,0.0,95.7,62.3,0.5,0.5187165775401069,0.17145200984413453,0.0,0.9536637931034483,0.6350662589194699,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.11513060899512353,0.05746052119802503,0.03919266085276746,0.0,0.08685828681324201,0.09556302123233969,0.3942050990914977
6,Aley,Aley,15.0,124.0,150.0,19.0,93.4,58.6,0.5357142857142857,0.04420677361853832,0.11648892534864644,0.25,0.9288793103448276,0.5973496432212029,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.12335422392334663,0.00489697912615471,0.02662850641671282,0.04720400225899873,0.08460095280566624,0.08988752879960042,0.3765721933304796
7,Akkar,Akkar,16.0,29.0,344.0,47.0,8.7,38.4,0.5714285714285714,0.01033868092691622,0.2756357670221493,0.618421052631579,0.016163793103448267,0.39143730886850153,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.13157783885156973,0.0011452612472458597,0.06300829687334865,0.1167677950617337,0.0014721743527668129,0.058902407950591394,0.3728737743372561
8,Zahle,Zahle,15.0,76.0,113.0,30.0,85.3,31.2,0.5357142857142857,0.027094474153297684,0.08613617719442165,0.39473684210526316,0.8415948275862069,0.3180428134556575,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.12335422392334663,0.0030013743031270805,0.01969009277292145,0.07453263514578747,0.07665121130072543,0.04785820645985551,0.3450877439057636
9,Sour,Sour,2.0,1805.0,122.0,0.0,93.8,98.1,0.07142857142857142,0.64349376114082,0.09351927809680066,0.0,0.9331896551724138,1.0,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.016447229856446217,0.07128263969926817,0.02137781501060043,0.0,0.08499353263307072,0.15047724531127646,0.344578462510662
10,Nabatiye,Nabatiye,6.0,2805.0,56.0,0.0,56.0,75.5,0.21428571428571427,1.0,0.03937653814602133,0.0,0.5258620689655172,0.7696228338430173,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.049341689569338654,0.11077440684567712,0.009001185267621234,0.0,0.047894738943347004,0.11581072396535548,0.3328227445913395
11,Marjayoun,Marjayoun,1.0,1583.0,40.0,0.0,91.4,90.3,0.03571428571428571,0.564349376114082,0.026251025430680888,0.0,0.9073275862068966,0.9204892966360857,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.008223614928223108,0.06251546739276537,0.0060007901784141565,0.0,0.08263805366864381,0.13851269369631258,0.29789061986435905
12,El Metn,El Metn,14.0,4.0,180.0,0.0,99.3,38.8,0.5,0.00142602495543672,0.14109926168990977,0.0,0.9924568965517241,0.39551478083588176,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.11513060899512353,0.0001579670685856358,0.03225424720897609,0.0,0.09039150525988235,0.059515974700076725,0.2974503032326443
13,Bekaa Ouest,Bekaa Ouest,8.0,192.0,33.0,0.0,84.9,86.3,0.2857142857142857,0.06844919786096257,0.020508613617719443,0.0,0.8372844827586208,0.8797145769622834,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.06578891942578487,0.00758241929211052,0.00468811732688606,0.0,0.07625863147332096,0.1323770262014593,0.2866951137195617
14,Chouf,Chouf,2.0,69.0,67.0,11.0,98.0,77.8,0.07142857142857142,0.02459893048128342,0.04840032813781788,0.14473684210526316,0.978448275862069,0.7930682976554536,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.016447229856446217,0.0027249319331022178,0.0110639568914511,0.027328632886788738,0.08911562082081778,0.11933873277489611,0.26601910516350213
15,Hasbaiya,Hasbaiya,1.0,941.0,11.0,5.0,98.7,69.6,0.03571428571428571,0.3354723707664884,0.002461033634126333,0.06578947368421052,0.9859913793103449,0.709480122324159,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.008223614928223108,0.037161752884770825,0.0005625740792263271,0.012422105857631243,0.08980263551877564,0.1067606144104469,0.254933297679074
16,Kesrouane,Kesrouane,10.0,8.0,171.0,0.0,100.0,30.1,0.35714285714285715,0.00285204991087344,0.13371616078753076,0.0,1.0,0.3068297655453619,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.0822361492822311,0.0003159341371712716,0.03056652497129711,0.0,0.0910785199578402,0.046170897898770866,0.2503680262473106
17,Bent Jbail,Bent Jbail,1.0,1591.0,39.0,0.0,65.4,69.2,0.03571428571428571,0.5672014260249555,0.02543068088597211,0.0,0.6271551724137931,0.7054026503567788,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.008223614928223108,0.06283140152993666,0.005813265485338714,0.0,0.05712036488735237,0.10614704766096159,0.24013569449181243
18,Hermel,Hermel,3.0,237.0,45.0,0.0,84.2,64.6,0.10714285714285714,0.08449197860962566,0.030352748154224774,0.0,0.8297413793103449,0.6585117227319062,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.024670844784669327,0.009359548813698921,0.006938413643791368,0.0,0.0755716167753631,0.09909103004188032,0.21563145405940304
19,Minie-Danniye,Minie-Danniye,9.0,48.0,244.0,0.0,87.5,4.9,0.32142857142857145,0.017112299465240642,0.19360131255127153,0.0,0.865301724137931,0.049949031600407756,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.074012534354008,0.00189560482302763,0.0442558275658044,0.0,0.0788104003514501,0.007516192681195258,0.20649055977548536
20,Zgharta,Zgharta,6.0,5.0,53.0,5.0,59.1,33.1,0.21428571428571427,0.0017825311942959,0.03691550451189499,0.06578947368421052,0.5592672413793104,0.3374108053007136,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.049341689569338654,0.00019745883573204476,0.008438611188394906,0.012422105857631243,0.050937232605731755,0.05077264851991082,0.17210974657673941
21,Rachaiya,Rachaiya,0.0,111.0,9.0,0.0,59.5,67.7,0.0,0.039572192513368985,0.0008203445447087777,0.0,0.5635775862068966,0.690112130479103,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.0,0.004383586153251394,0.0001875246930754424,0.0,0.05132981243313624,0.10384617235039162,0.1597470956298547
22,Jezzine,Jezzine,2.0,731.0,12.0,3.0,88.0,3.8,0.07142857142857142,0.2606060606060606,0.003281378178835111,0.039473684210526314,0.8706896551724138,0.03873598369011213,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.016447229856446217,0.028868481784024947,0.0007500987723017696,0.007453263514578746,0.0793011251357057,0.005828884120110607,0.13864908318316796
23,Koura,Koura,0.0,15.0,79.0,0.0,100.0,8.0,0.0,0.0053475935828877,0.05824446267432322,0.0,1.0,0.08154943934760449,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.0,0.0005923765071961343,0.01331425320835641,0.0,0.0910785199578402,0.01227133498970654,0.11725648466309929
24,Jbail,Jbail,4.0,13.0,49.0,13.0,19.4,1.5,0.14285714285714285,0.004634581105169341,0.033634126333059886,0.17105263157894737,0.1314655172413793,0.015290519877675842,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.032894459712892433,0.0005133929729033164,0.007688512416093138,0.032297475229841235,0.011973684735836751,0.002300875310569977,0.08766840037813686
25,Batroun,Batroun,3.0,3.0,35.0,0.0,49.2,0.7,0.10714285714285714,0.0010695187165775401,0.022149302707136997,0.0,0.4525862068965517,0.007135575942915392,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.024670844784669327,0.00011847530143922687,0.005063166713036945,0.0,0.041220881877470784,0.0010737418115993223,0.07214711048821561
26,Bcharre,Bcharre,0.0,0.0,8.0,0.0,7.2,1.2,0.0,0.0,0.0,0.0,0.0,0.012232415902140673,0.23026121799024707,0.11077440684567712,0.22859260085896427,0.1888160090359949,0.0910785199578402,0.15047724531127646,0.0,0.0,0.0,0.0,0.0,0.001840700248455981,0.001840700248455981
