rank,ADM2_Name,District,Resident_Population (R),Displaced_Population (D),Heterogeneity (H),Displacement_Ratio (S = D/R),Demographic_Factor (DF = S*H),norm_District,norm_Resident_Population (R),norm_Displaced_Population (D),norm_Heterogeneity (H),norm_Displacement_Ratio (S = D/R),norm_Demographic_Factor (DF = S*H),weight_District,weight_Resident_Population (R),weight_Displaced_Population (D),weight_Heterogeneity (H),weight_Displacement_Ratio (S = D/R),weight_Demographic_Factor (DF = S*H),weighted_District,weighted_Resident_Population (R),weighted_Displaced_Population (D),weighted_Heterogeneity (H),weighted_Displacement_Ratio (S = D/R),weighted_Demographic_Factor (DF = S*H),composite_score
1,Beyrouth,,23308.46154,12625.92308,0.613193205,0.975868428,0.594716233,0.0,1.0,1.0,1.0,0.5915826274680941,1.0,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.1,0.20852713178294574,0.23565891472868217,0.13299144338430022,0.2310077519379845,0.9081852418339127
2,Jbail,,1230.682243,223.1214953,0.223150572,1.648943056,0.27880008,0.0,0.0363544132442785,0.017464863276450825,0.24039559067456917,1.0,0.46862751746245607,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.0036354413244278506,0.0036418978460195906,0.05665136400392948,0.2248062015503876,0.10825658930528055,0.3969914940300451
3,Aley,,3735.869048,1632.107143,0.301626535,0.461512158,0.145648073,0.0,0.14570020278955917,0.1290830244274117,0.393226800592228,0.2794745378154984,0.24466520391007981,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.014570020278955917,0.026917312845716086,0.09266740106979636,0.06282760927635236,0.056519558732716114,0.25350190220353686
4,Baabda,,9389.180328,580.704918,0.344853056,0.355408183,0.0940857,0.0,0.39245457025751385,0.0457921951871723,0.4774100492254571,0.2150913254910977,0.15793704554795637,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.039245457025751385,0.009548915120425851,0.11250593408103796,0.04835386387009173,0.03648468183976047,0.2461388519370674
5,Bekaa Ouest,,2870.045455,67.31818182,0.257476899,0.658772635,0.15546255,0.0,0.10790894339342932,0.005122310759856926,0.30724579406027597,0.3991709316019099,0.26117320123396986,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.010790894339342933,0.0010681407708538861,0.07240521038319682,0.08973610090275495,0.060333034083506216,0.2343333804796548
6,Chouf,,2628.777778,1143.232323,0.261851944,0.311074658,0.090263516,0.0,0.09737815000881354,0.09035494474080769,0.31576615361029775,0.18819002652313607,0.1515081137522616,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.009737815000881354,0.018841457469207186,0.07441310906785312,0.04230628503233292,0.034999548758274386,0.18029821532854895
7,Zahle,,4487.353846,252.6615385,0.40546512,0.047273037,0.021604491,0.0,0.17850083003403555,0.019804990237776685,0.5954514815647656,0.028116892822310235,0.03602330483570928,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.017850083003403554,0.0041298778092728125,0.14032344991913856,0.006320851874782921,0.008321662667473927,0.17694592527407177
8,Jezzine,,397.7777778,83.41975309,0.273540755,0.32606669,0.11879906,0.0,0.0,0.006397858015950201,0.33853000459520177,0.19728709550127954,0.19950503544128748,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.0,0.0013341269816206235,0.07977761348600104,0.044351362554551216,0.04608720973759974,0.17155031275977264
9,El Metn,,4860.824742,200.4639175,0.382504742,0.05198022,0.019314589,0.0,0.19480199764109685,0.01566995700874035,0.5507363584141672,0.03097318131233909,0.03217167870341813,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.019480199764109685,0.0032676111901946935,0.12978593252550918,0.006962963240758401,0.007431907173347755,0.16692861389391975
10,Koura,,2139.575,126.45,0.292298318,0.209335883,0.061089539,0.0,0.07602554512466213,0.009806662812369717,0.3750601845229932,0.12645558959511874,0.10243734469923625,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.007602554512466213,0.0020449552686259333,0.08838627604262786,0.028428000761693363,0.02366382071346698,0.15012560729888036
11,Tripoli,,18057.4375,308.5,0.235591096,0.008420787,0.000612806,0.0,0.7708045689730314,0.024228446505271443,0.2646233957532998,0.0045415964111183175,0.0007151901186497618,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.07708045689730314,0.0050522884573007895,0.06236086225504119,0.0010209790381583816,0.00016521446151754188,0.14567980110932105
12,Saida,,4508.512821,939.3333333,0.235570826,0.140111298,0.044719337,0.0,0.17942437187240312,0.07420231016429248,0.26458392011634546,0.08445055487211685,0.07490258652439526,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.017942437187240312,0.015473194910228432,0.06235155946927831,0.018985008459623167,0.017303078127340922,0.13205527815371115
13,Kesrouane,,3176.085366,197.9268293,0.237390811,0.085975594,0.015919346,0.0,0.12126689962801934,0.015468971909975102,0.26812832401976733,0.05160135648004051,0.026460863714707447,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.012126689962801935,0.003225700344018064,0.06318682984651881,0.011600304945125386,0.006112664641071953,0.09625218973953614
14,Hermel,,4051.285714,117.7857143,0.221329845,0.1090522,0.014322792,0.0,0.15946743336520883,0.009120288441488631,0.2368497417330309,0.06560409317133355,0.023775452239450448,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.015946743336520883,0.0019018275897367766,0.05581575309057472,0.014748206992005217,0.0054923137731443675,0.09390484478198195
15,Batroun,,912.2253521,103.0422535,0.218740895,0.144568452,0.030107366,0.0,0.02245448366533606,0.00795232907569695,0.23180778562582996,0.0871551273666398,0.05032518131322013,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.002245448366533606,0.001658276373149209,0.0546275711862421,0.01959301312893453,0.011625507001038449,0.0897498160558979
16,Hasbaiya,,1224.25,68.66666667,0.218159589,0.062277766,0.023040949,0.0,0.03607366025293337,0.005229136120031905,0.2306756975836304,0.03722166625871629,0.03843943407213017,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.003607366025293337,0.0010904167568128547,0.054360784546840034,0.008367661406998237,0.008879807250771156,0.07630603598671562
17,Baalbek,,3730.257426,103.3564356,0.184353702,0.074708806,0.013789887,0.0,0.1454552680657314,0.007977218206630108,0.1648390462697797,0.04476474169705985,0.02287910347691449,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.01454552680657314,0.0016634664322352707,0.03884579074884731,0.010063391544300276,0.005285250260558541,0.07040342579251453
18,Akkar,,2866.261628,91.85465116,0.201164078,0.043141376,0.008763285,0.0,0.10774378782499348,0.007066060572595158,0.19757709757920766,0.02560982739506827,0.014424334836236013,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.01077437878249935,0.0014734653442078276,0.04656080439075901,0.005757248019046356,0.0033321331637196374,0.06789802970023218
19,Zgharta,,1714.326923,68.55769231,0.209347528,0.046930621,0.010375918,0.0,0.05746441960724696,0.0052205033013118145,0.21351429053599452,0.027909116987038542,0.017136791266509036,0.0,0.1,0.20852713178294574,0.23565891472868217,0.2248062015503876,0.2310077519379845,0.0,0.005746441960724696,0.0010886165798859521,0.050316545986777005,0.006274142578481533,0.003958731625906739,0.06738447873177593
