ADM2_Name,Displacement Pressure,Socioeconomic Vulnerability,Tension and Conflict Risk,Service & Infrastructure Vulnerability,Demographic Tension / Stress
Akkar,0.032186729652512,0.8193272626659497,0.3169047779054179,0.5323404837821644,0.0118694617946299
Baalbek,0.0564982570660982,0.6702810245972397,0.4540930079002545,0.4820693292635399,0.018316439214482
El Hermel,0.0282088768930874,0.54144703107069,0.2667220852339489,0.5299157295780665,0.0016953867303637
Beirut,0.1577769710570608,0.3408832449428927,0.3562567737834288,0.6875813200200613,0.912994606868335
Rachaya,0.1425595734044326,0.4939010700716215,0.1620727583398561,0.5113942462513075,0.0350583907561031
West Bekaa,0.0211770221227135,0.6037863940960686,0.275128541185525,0.4357740594116521,0.0080607279199497
Zahle,0.0399632841238604,0.5902894364871965,0.2828661563235822,0.2550812087993124,0.0188168696016428
Bent Jbeil,0.0020822410306344,0.4897241390546642,0.4097967434699777,0.1143312577867869,0.0003339745612098
El Nabatieh,0.0093720752513673,0.3212618110032624,0.5199313029264362,0.5721903890888925,0.0017468626256874
Hasbaya,0.0670704117503741,0.4265404527143244,0.2535736376793127,0.4434375336818921,0.0422739285262979
Marjaayoun,0.0076340502877915,0.4819534067852686,0.5480822017493413,0.145454694229704,0.0013293990966245
Aley,0.2627103407403461,0.3646210412765038,0.3206866952585278,0.7846702407216016,0.309951904167216
Baabda,0.0425904810169348,0.4682897247311192,0.4770212802233198,0.5591857126851028,0.173487076178447
Chouf,0.5280042295648059,0.3628005247747591,0.2406900452924584,0.6279654526904009,0.37288453784489
El Meten,0.0356154156577885,0.2179396103502344,0.2831035881812026,0.5636189753948723,0.0360428350128727
Jbeil,0.1501332746064412,0.5136813894418207,0.0666841099337631,0.226540026567597,0.108656326236893
Kesrwane,0.0653451759234551,0.5283514864603157,0.2383266437614264,0.7437495831582249,0.0517227808630392
Bcharre,0.0143598461125525,0.3800924750894339,0.0020098505972088,0.1526777956258249,0.0015402957389372
El Batroun,0.0111350196367576,0.3309442587846597,0.0550709054889608,0.1262514354941934,0.0049157750575908
El Koura,0.065562716248632,0.4568279820479884,0.0927016627418295,0.7704371198093413,0.0372388869314057
El Minieh-Dennie,0.0541154550209205,0.440935274955309,0.194710112567696,0.4336920005066022,0.0113978520641987
Tripoli,0.0190967120514578,0.465491694256229,0.6372361526471246,0.6279813653266105,0.0111143370023308
Zgharta,0.0685829839253276,0.447657589632659,0.144706711999106,0.271325118113069,0.0642083220805059
Jezzine,0.345296086423435,0.2330885472691387,0.1235137216544785,0.1240796222764451,0.117727255776759
Saida,0.3457778336624496,0.4770683204627045,0.4879331462617417,0.610837265101638,0.3291896270312227
Sour,0.0942664919989025,0.6162255319984693,0.4759545662038916,0.5211597995827564,0.030815220119826
