ACS_CODE,ADM3_Name,Displacement Pressure,Socioeconomic Vulnerability,Tension and Conflict Risk,Service & Infrastructure Vulnerability,Demographic Tension / Stress
10110,Ain el-Mreisseh,6.32967033,0.291548068,0.126872938,0.577161369,4.177013804
10150,Ras Beyrouth,1.052617621,0.284031639,0.16754308,0.509937157,0.559893614
10210,Moussaytbeh,0.978637117,0.288172354,0.162774286,0.443783503,0.585839559
10250,Minet el-Hosn,0,0.25817902,0.124883822,0.338788527,0
10310,Mazraa,0.187320695,0.303758982,0.225400057,0.686477357,0.051216838
10350,Bachoura,0.114132445,0.262726917,0.418877594,0.732156393,0.066912862
10410,Zoukak el-Blatt,0.126665416,0.263144637,0.137534733,0.657027108,0.071658039
10450,Marfaa,2.98013245,0.268589239,0.126859155,0.447856527,1.625823384
10510,Saifeh,0.094330855,0.2439962,0.12852165,0.45840131,0.075736805
10550,Remeil,0.056329056,0.273494673,0.136210174,0.750490341,0.04522574
10610,Medawar,0.455311973,0.290314717,0.127980895,0.2604183,0.308685129
10650,Achrafieh,0.145700423,0.274255933,0.182267101,0.665656575,0.124959798
10999,Beirut Central District,0.165441176,0.276834467,0.141034543,0.44735854,0.038345456
21111,Chiyah,0.042808828,0.370561101,0.738175794,0.701117693,0.026389743
21133,Furn Ech-Chebbak,0.072743638,0.278415299,0.148449223,0.650298059,0.019207023
21144,Haret Hreik,0,0.289885942,0.255130543,0.454804593,0
21166,Laylakeh,0,0.298564385,0.136856851,0.653314411,0
21177,Bourj El-Brajneh,0,0.367731245,0.250676975,0.658315335,0
21188,Tahouitat El Ghadir,0,0.295214429,0.125848521,0.643981274,0
21211,Baabda,0.293615139,0.286962619,0.127829844,0.662062173,0.187262136
21219,Hadath Beyrouth,0.086846349,0.294521791,0.162291102,0.650777602,0.053983301
21227,Boutchay,0.083848191,0.295900252,0.113926253,0.746584448,0.054248201
21235,Merdache,0,0.298446368,0.104816567,0.447303208,0
21243,Louayzeh Baabda,0.538116592,0.299300695,0.104834443,0.649641454,0.256501472
21251,Kfar Chima,0.064143682,0.301156724,0.107555024,0.554074671,0.043026379
21259,Ouadi Chahrour Es-Soufla,0.126467931,0.302316079,0.104870196,0.473523007,0.03535527
21267,Ouadi Chahrour El Aaoulia,0.039858282,0.296846133,0.104888073,0.473289383,0.02200947
21275,Haret Es-Sit,0.347826087,0.299758082,0.104905949,0.473621375,0.06266498
21283,Bsaba Baabda,0.021875,0.304108621,0.104923826,0.553608653,0.005110754
21311,Baalchmay,0.228583545,0.306780262,0.123623624,0.53145145,0.018845805
21314,Aain Mouaffaq,5.066666667,0.30776079,0.104993097,0.626491567,1.285852466
21317,Rouayssrt El-Ballout,0.99756691,0.30872873,0.104999801,0.554678403,0.037474112
21321,Mzairaa Baabda,1.333333333,0.308222962,0.105008739,0.377544706,0.308100035
21324,Hlaliyeh Baabda,0.752,0.307272476,0.105397548,0.378046382,0.021725251
21327,Haret Hamzeh,0,0.308073759,0.105022146,0.542956895,0
21331,Qtaleh Baabda,0,0.30845868,0.105031085,0.553582831,0
21334,Ras El-Href,2.352941176,0.307083418,0.105037788,0.663759799,0.521707438
21337,Deir Khouna,0,0.308351479,0.105044492,0.663563063,0
21341,Aabadiyeh,0.392648287,0.309821771,0.10505343,0.650116078,0.238276319
21344,Qrayet Baabda,0.58224163,0.307100909,0.105060134,0.635598816,0.039492341
21347,Chmeisset Baabda,0,0.308417827,0.105448943,0.743967175,0
21351,Ras El Matn,0.088604596,0.308561308,0.106622842,0.554042701,0.018036492
21354,Chouit,0.517836594,0.306758035,0.10508248,0.473768927,0.296201716
21357,Qobbayaa,0.6397463,0.308303195,0.105471288,0.745827557,0.174238958
21361,Qordata,0,0.307173301,0.105098122,0.47317872,0
21364,Qsaibeh Baabda,0,0.307226244,0.10548693,0.47317872,0
21367,Deir El-harf,0.475,0.308034807,0.105111529,0.553816455,0.163336935
21371,Aaraiya,0.093956771,0.30423801,0.105502572,0.473440624,0.026505461
21374,Zandouqa,0.915254237,0.307098022,0.105127171,0.256985263,0.150239307
21377,Kneisset Baabda,0,0.307852548,0.105133874,0.553582831,0
21381,Aarbaniyeh,0,0.307020807,0.105142813,0.634744245,0
21391,Dlaybeh,0.015772871,0.30486519,0.105165158,0.553588979,0.004034873
21394,Salima Baabda,0.078321678,0.307190853,0.105171862,0.74410489,0.033743921
21397,Hasbaiya El-Matn,0.049822064,0.308061611,0.105178566,0.444377116,0.008113812
21411,Hammana,0.041899441,0.307745168,0.119724175,0.556359953,0.024209177
21416,Qalaat Baabda,0.084566596,0.307233826,0.105221022,0.744065543,0.000653014
21421,Khalouat Baabda,0.058080808,0.305558418,0.105232195,0.626426399,0.001510037
21426,Chbaniyeh,0.033088235,0.30742241,0.105243368,0.634799577,0.019474569
21431,Khreibet Baabda,1.098546042,0.307476079,0.105254541,0.744848797,0.035659222
21436,Bmaryam,0.511111111,0.308242673,0.105265714,0.744221702,0.270549287
21441,Btekhnay,0.463623395,0.307738498,0.105276886,0.744450407,0.012898919
21446,Falougha,0.35768262,0.308636308,0.105288059,0.349579229,0.209497793
21451,Btibyat,0.692307692,0.30848544,0.105299232,0.744099972,0.030288066
21456,Qornayel,0.154692334,0.308670875,0.111825595,0.744610255,0.036778306
21461,Jouar El-Haouz,0.14516129,0.30857386,0.105321578,0.444393101,0.022318519
21466,Bzebdine,0.163432074,0.307865255,0.10533275,0.444556637,0.092431058
21471,Arsoun,0,0.307974117,0.105343923,0.444359902,0
21476,Kfar Selouane,0.383094751,0.309332969,0.105355096,0.458708709,0.109786781
21481,Tarchich,0,0.308734088,0.105748374,0.553582831,0
