ADM3_NAME,CODE_NEW,ADM1_NAME_max,ADM2_NAME_max,composite_score,dependency_rate,unemployment_rate,dependency_rate_join_key,unemployment_rate_join_key,CODE_max,CODE_min,MOHAFAZA_1_max,coping10_pred,coping11_pred,coping12_pred,coping14_pred,coping1_pred,coping2_pred,coping3_pred,coping4_pred,coping5_pred,coping6_pred,coping7_pred,coping8_pred,coping97_pred,coping98_pred,coping99_pred,coping9_pred
Aain Ez-Zeit,101003,Akkar,Akkar,0.029141391,57.4,9.3,ADM1_NAME_max,ADM2_NAME_max,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Aain Ez-Zeit,101003,Akkar,Akkar,0.029141391,57.4,9.3,ADM1_NAME_max,ADM2_NAME_max,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Aain Ez-Zeit,101003,Akkar,Akkar,0.029141391,57.4,9.3,ADM1_NAME_max,ADM2_NAME_max,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Aain Tinta,101004,Akkar,Akkar,0.028942772,57.4,9.3,ADM1_NAME_max,ADM2_NAME_max,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Aain Tinta,101004,Akkar,Akkar,0.028942772,57.4,9.3,ADM1_NAME_max,ADM2_NAME_max,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Aaiyat,101006,Akkar,Akkar,0.054558796,57.4,9.3,ADM1_NAME_max,ADM2_NAME_max,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aaiyat,101006,Akkar,Akkar,0.054558796,57.4,9.3,ADM1_NAME_max,ADM2_NAME_max,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aakkar El-Aatiqa,101007,Akkar,Akkar,0.059658253,57.4,9.3,ADM1_NAME_max,ADM2_NAME_max,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aakkar El-Aatiqa,101007,Akkar,Akkar,0.059658253,57.4,9.3,ADM1_NAME_max,ADM2_NAME_max,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aakkar El-Aatiqa,101007,Akkar,Akkar,0.059658253,57.4,9.3,ADM1_NAME_max,ADM2_NAME_max,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
