ADM3_NAME,CODE_NEW,composite_score,coping1_pred,coping2_pred,coping3_pred,coping4_pred,coping5_pred,coping6_pred,coping7_pred,coping8_pred,coping9_pred,coping10_pred,coping11_pred,coping12_pred,coping97_pred,coping98_pred,coping99_pred,coping14_pred,CODE_min,CODE_max,ADM1_NAME_max,MOHAFAZA_1_max,ADM2_NAME_max
Jenta,201052,0.0522697643034299,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"02","02",Baalbek-Hermel,2,Baalbek
Khreibet Baalbek,201057,0.0671589107352541,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"02","02",Baalbek-Hermel,2,Baalbek
Yahfoufa,201092,0.0419612398879345,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"02","02",Baalbek-Hermel,2,Baalbek
Conflict,201031,0.0747898011474816,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,"02","02",Baalbek-Hermel,2,Baalbek
Aayha,402005,0.0671791333247709,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"04","04",Bekaa,4,Rachaiya
NahlT baalbek,201070,0.0630100429666003,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"02","02",Baalbek-Hermel,2,Baalbek
Conflict,201026,0.0747898011474816,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,"02","02",Baalbek-Hermel,2,Baalbek
Aayha,402005,0.0671791333247709,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"04","04",Bekaa,4,Rachaiya
Hermel,202003,0.110736360551764,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"02","02",Baalbek-Hermel,2,Hermel
Conflict,603011,0.0747898011474816,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,"06","06",Nabatiye,6,Marjayoun
Conflict,201027,0.0747898011474816,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,"02","02",Baalbek-Hermel,2,Baalbek
Chebaa,602005,0.0461462297771721,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,"06","06",Nabatiye,6,Hasbaiya
Kfar Qouq,402021,0.0672771659603735,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"04","04",Bekaa,4,Rachaiya
Conflict,201030,0.0747898011474816,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,"02","02",Baalbek-Hermel,2,Baalbek
Aain Ej-Jaouz Baalbek,201004,0.039135064645322,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"02","02",Baalbek-Hermel,2,Baalbek
Ham,201040,0.0670239291048734,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,"02","02",Baalbek-Hermel,2,Baalbek
Majdel Aanjar,403024,0.175162431183253,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,"04","04",Bekaa,4,Zahle
Mina el-Hosn fonciFre,301008,0.29334888870567,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"03","03",Beyrouth,3,Beyrouth
Mina el-Hosn fonciFre,301008,0.29334888870567,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"03","03",Beyrouth,3,Beyrouth
Mina el-Hosn fonciFre,301008,0.29334888870567,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"03","05",Mount Lebanon,5,Beyrouth
Beirut Central District,301004,0.154847813095518,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,"03","03",Beyrouth,3,Beyrouth
Bachoura fonciFre,301003,0.400913798026669,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,"03","05",Mount Lebanon,5,Beyrouth
Marfa' fonciFre,301005,0.292895306167323,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"03","03",Beyrouth,3,Beyrouth
Mina el-Hosn fonciFre,301008,0.29334888870567,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"03","03",Beyrouth,3,Beyrouth
Beirut Central District,301004,0.154847813095518,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,"03","03",Beyrouth,3,Beyrouth
Mdaouar fonciFre,301007,0.114356171367355,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"03","03",Beyrouth,3,Beyrouth
Mdaouar fonciFre,301007,0.114356171367355,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"03","05",Mount Lebanon,5,El Metn
Mdaouar fonciFre,301007,0.114356171367355,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"03","05",Mount Lebanon,5,El Metn
Bourj Hammoud,506027,0.215259792767354,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"03","05",Mount Lebanon,5,El Metn
