ACS_CODE,CAD_CODE,M_ref_name_n,K_Ref_name,Governorate_AI,District_AI,C_Ref_name,ACS_NAME,CAD_NAME,C_ref_Ar,Longitude,Latitude,Eviction Threats,Eviction Date
,,,,,,THIS ONE,,,,,,,
10110,10012,Beirut,Beirut,Beyrouth,Beirut,Aain el-Mraisse foncière,Aain el-Mraisse foncière,Ain el-Mreissé,عين المريسه,35.47941746,33.90128365,,
10150,10007,Beirut,Beirut,Beyrouth,Beirut,Ras Beyrouth foncière,Ras Beyrouth foncière,Ras Beyrouth,راس بيروت,35.47760194,33.89197681,,
10210,10008,Beirut,Beirut,Beyrouth,Beirut,Msaitbe foncière,Msaitbé foncière,Moussaytbeh,مصيطبة,35.48818891,33.88092127,,
10250,10011,Beirut,Beirut,Beyrouth,Beirut,Mina el-Hosn foncière,Mina el-Hosn foncière,Minet el-Hosn,مينا الحصن,35.49574382,33.89895838,,
10310,10009,Beirut,Beirut,Beyrouth,Beirut,Mazraa foncière,Mazraa foncière,Mazraa,المزرعة,35.50457577,33.87499243,,
10350,10005,Beirut,Beirut,Beyrouth,Beirut,Bachoura foncière,Bachoura foncière,Bachoura,باشورة,35.50313286,33.89011365,,
10410,10010,Beirut,Beirut,Beyrouth,Beirut,Zqaq el-Blat foncière,Zqaq el-Blat foncière,Zoukak el-Blatt,زقاق البلاط,35.4980147,33.89290677,,
10450,10004,Beirut,Beirut,Beyrouth,Beirut,Marfa' foncière,Marfa' foncière,Port,مرفأ,35.50589477,33.89884524,,
10510,10006,Beirut,Beirut,Beyrouth,Beirut,Saifi foncière,Saifi foncière,Saifé,صيفي,35.50827813,33.89323035,,
10550,10002,Beirut,Beirut,Beyrouth,Beirut,Rmeil foncière,Rmeil foncière,Remeil,رميل,35.52294668,33.89397734,,
10610,10003,Beirut,Beirut,Beyrouth,Beirut,Mdaouar foncière,Mdaouar foncière,Medawar,مدور,35.52877923,33.90157721,,
10650,10001,Beirut,Beirut,Beyrouth,Beirut,Achrafieh foncière,Achrafieh foncière,Achrafieh,الاشرفية,35.52081555,33.88496962,,
10999,10999,Beirut,Beirut,Beyrouth,Beirut,Beirut Central District,Beirut Central District,Beirut Central District,وسط بيروت,35.50602273,33.90462023,,
21111,21007,Mount Lebanon,Baabda,Mont Liban,Baabda,Chiyah,Chiyah,Chiah,شياح,35.48975226,33.85144832,Yes,46086
21133,21003,Mount Lebanon,Baabda,Mont Liban,Baabda,Furn Ech-Chebbak,Furn Ech-Chebbak,Forn El-Chobbek,فرن الشباك,35.52586927,33.87142407,,
21144,21006,Mount Lebanon,Baabda,Mont Liban,Baabda,Haret Hreik,Haret Hreik,Haret Horaïk,حارة حريك,35.51082085,33.85216602,Yes,46086
21166,21005,Mount Lebanon,Baabda,Mont Liban,Baabda,Laylake,Laylaké,Laylaki,ليلكي,35.5138347,33.83219006,,
21177,21004,Mount Lebanon,Baabda,Mont Liban,Baabda,Bourj El-Brajneh,Bourj El-Brajneh,Borge el Baragenat,برج البراجنة,35.5042849,33.84057808,Yes,46086
21188,21008,Mount Lebanon,Baabda,Mont Liban,Baabda,Tahouitat El Ghadir,Tahouitat El Ghadir,Tahouitat-el-Ghadir,تحويطة الغدير,35.49353376,33.8300933,,
21211,21001,Mount Lebanon,Baabda,Mont Liban,Baabda,Baabda,Baabda,Baabda,بعبدا,35.54483286,33.84553264,,
21219,21002,Mount Lebanon,Baabda,Mont Liban,Baabda,Hadath Beyrouth,Hadath Beyrouth,Hadace,حدث,35.52595365,33.8374257,Yes,46086
21227,21012,Mount Lebanon,Baabda,Mont Liban,Baabda,Boutchay,Boutchay,Boutchay,بطشيه,35.54127132,33.82586827,,
21235,21010,Mount Lebanon,Baabda,Mont Liban,Baabda,Merdache,Merdache,Mardachat,مرداشة,35.54327246,33.82249178,,
21243,21016,Mount Lebanon,Baabda,Mont Liban,Baabda,Louayze Baabda,Louayzé Baabda,Louaizé,لويزة,35.56828527,33.83944054,,
21251,21009,Mount Lebanon,Baabda,Mont Liban,Baabda,Kfar Chima,Kfar Chima,Kfarchima,كفرشيما,35.53341362,33.81556514,,
21259,21013,Mount Lebanon,Baabda,Mont Liban,Baabda,Ouadi Chahrour Es-Soufla,Ouadi Chahrour Es-Soufla,Wadi Chahrour el Soufla,وادي شحرور السفلى,35.55340094,33.82240058,,
21267,21014,Mount Lebanon,Baabda,Mont Liban,Baabda,Ouadi Chahrour El Aaoulia,Ouadi Chahrour El Aaoulia,Wadi Chahrour el Olia,وادي شحرور العليا,35.56419772,33.81772481,,
21275,21015,Mount Lebanon,Baabda,Mont Liban,Baabda,Haret Es-Sit,Haret Es-Sit,Haret -el-Sit,حارة الست,35.56674047,33.82533826,,
21283,21028,Mount Lebanon,Baabda,Mont Liban,Baabda,Bsaba Baabda,Bsaba Baabda,Bsaba Wadi Dlab,بسابا وادي الدلب,35.5379465,33.80433996,,
21311,21022,Mount Lebanon,Baabda,Mont Liban,Baabda,Baalchmay,Baalchmay,Baalchemay,بعلشميه,35.64338072,33.81656,,
21314,21054,Mount Lebanon,Baabda,Mont Liban,Baabda,Aain Mouaffaq,Aain Mouaffaq,Aïn Mouaffak,عين موفق,35.65291114,33.82168913,,
21317,21021,Mount Lebanon,Baabda,Mont Liban,Baabda,Rouayssrt El-Ballout,Rouayssrt El-Ballout,Roueissat-el-Ballout,رويسة البلوط,35.64729684,33.82681825,,
21321,21055,Mount Lebanon,Baabda,Mont Liban,Baabda,Mzairaa Baabda,Mzairaa Baabda,Mazraet-el-Mzeiraa,مزيرعة بعبدا,35.65390054,33.8302536,,
21324,21020,Mount Lebanon,Baabda,Mont Liban,Baabda,Hlaliye Baabda,Hlaliyé Baabda,El Halaliyeh,هلالية,35.63831281,33.83128605,,
21327,21023,Mount Lebanon,Baabda,Mont Liban,Baabda,Haret Hamze,Haret Hamzé,Haret Hamzé,حارة حمزة,35.66165414,33.82092336,,
21331,21025,Mount Lebanon,Baabda,Mont Liban,Baabda,Qtale Baabda,Qtalé Baabda,Ktalé,قتالة,35.67359716,33.82370674,,
21334,21024,Mount Lebanon,Baabda,Mont Liban,Baabda,Ras El-Href,Ras El-Href,Ras-el-Harf,راس الحرف,35.66965124,33.8118795,,
21337,21043,Mount Lebanon,Baabda,Mont Liban,Baabda,Deir Khouna,Deir Khouna,Deir Khouna,دير خونة,35.66322215,33.83236945,,
