Nightlight Intensity (mean),ADM3_NAME_max,CODE_NEW_max,MOHAFAZA_1_max_max,ADM2_NAME_max_max
2.322347858,Aakkar El-Aatiqa,101007,1,Akkar
2.261794859,Beino,101023,1,Akkar
5.607885937,Beit Mellat,101026,1,Akkar
1.171836609,Dayret Nahr El-Kabir,101049,1,Akkar
2.92395472,Deir Dalloum,101050,1,Akkar
1.819927543,HmairT Aakkar,101066,7,Minie-Danniye
2.153308732,Idbil,101074,1,Akkar
2.297603804,Idbil,101074,1,Akkar
1.358412176,Ilat,101075,1,Akkar
1.450783468,Ilat,101075,7,Minie-Danniye
1.003570053,Khreibet Aakkar,101090,7,Minie-Danniye
2.138188219,Khreibet Ej-Jindi,101091,1,Akkar
1.20942189,Kouachra,101095,1,Akkar
1.347060784,Kouachra,101095,1,Akkar
1.349147429,Kouachra,101095,1,Akkar
2.482411951,Kouachra,101095,1,Akkar
1.248763025,Kouachra,101095,1,Akkar
4.407478988,Machha,101098,1,Akkar
1.962616205,Machha,101098,1,Akkar
1.277204514,Machha,101098,1,Akkar
1.249868751,Machha,101098,1,Akkar
2.035290337,Machha,101098,1,Akkar
1.463607907,Machta Hammoud,101099,1,Akkar
1.466346065,Machta Hammoud,101099,1,Akkar
1.48957585,Machta Hammoud,101099,1,Akkar
1.776120987,Machta Hammoud,101099,2,Hermel
2.322449118,Majdel Akkar,101101,1,Akkar
4.213911414,Majdel Akkar,101101,1,Akkar
3.410211875,Majdel Akkar,101101,1,Akkar
2.652732849,Majdel Akkar,101101,1,Akkar
2.461966931,Mar Touma,101102,1,Akkar
3.049576402,Mar Touma,101102,1,Akkar
2.582229043,Mar Touma,101102,1,Akkar
2.83258513,Mar Touma,101102,7,Minie-Danniye
2.975799084,Mar Touma,101102,7,Minie-Danniye
2.203200221,Mar Touma,101102,7,Minie-Danniye
1.520336211,MassaaoudiyT,101104,1,Akkar
1.479943994,MassaaoudiyT,101104,1,Akkar
1.664066839,MassaaoudiyT,101104,1,Akkar
2.160313032,MassaaoudiyT,101104,1,Akkar
1.590698481,MassaaoudiyT,101104,1,Akkar
3.389181316,MassaaoudiyT,101104,1,Akkar
0.575183759,Mazareaa Jabal Akroum,101105,1,Akkar
1.077436961,Mazareaa Jabal Akroum,101105,1,Akkar
1.70621866,Mazareaa Jabal Akroum,101105,1,Akkar
2.080375388,Mazareaa Jabal Akroum,101105,1,Akkar
1.184231073,Mazareaa Jabal Akroum,101105,1,Akkar
1.14720234,Mazareaa Jabal Akroum,101105,2,Hermel
0.914526982,Mazareaa Jabal Akroum,101105,2,Hermel
0.929549515,Mazareaa Jabal Akroum,101105,2,Hermel
1.076271832,Mazareaa Jabal Akroum,101105,2,Hermel
1.748128799,Mazareaa Jabal Akroum,101105,2,Hermel
0.619778002,Mazareaa Jabal Akroum,101105,7,Minie-Danniye
2.624017715,Minyara,101112,1,Akkar
1.849450946,Minyara,101112,1,Akkar
2.059838454,Minyara,101112,1,Akkar
1.316022515,Mounjez,101113,1,Akkar
1.379864514,Mounjez,101113,1,Akkar
1.929664854,Mounjez,101113,1,Akkar
1.381042083,Mounjez,101113,1,Akkar
1.426287398,Mounjez,101113,1,Akkar
1.535417557,Mounjez,101113,1,Akkar
1.407096131,Mounjez,101113,1,Akkar
1.496051314,Mounjez,101113,1,Akkar
2.375028213,Mounjez,101113,1,Akkar
2.31839021,Mounjez,101113,1,Akkar
1.700120449,Mounjez,101113,1,Akkar
1.692619579,Mounjez,101113,1,Akkar
1.771765053,Mounjez,101113,1,Akkar
1.713612604,Mounjez,101113,1,Akkar
1.730467343,Mounjez,101113,1,Akkar
1.509649961,Mounjez,101113,2,Hermel
1.566457801,Msalla,101115,1,Akkar
1.536974896,Qabaait,101122,7,Minie-Danniye
1.758533792,Qabaait,101122,7,Minie-Danniye
2.196965426,Qachlaq,101123,1,Akkar
1.667683482,Qachlaq,101123,1,Akkar
3.31193018,Qachlaq,101123,1,Akkar
2.91447577,Qachlaq,101123,1,Akkar
0.787145416,Qarha Aakkar,101126,1,Akkar
1.013125204,Qarha Aakkar,101126,1,Akkar
1.563607097,Qarha Aakkar,101126,2,Hermel
1.33171083,Qarha Aakkar,101126,2,Hermel
0.777486269,Qarha Aakkar,101126,7,Minie-Danniye
2.062027852,Qleiaat Aakkar,101129,1,Akkar
1.617325423,Qoubber Chamra,101132,1,Akkar
5.582231323,Qoubber Chamra,101132,1,Akkar
3.0085289,Qoubber Chamra,101132,1,Akkar
3.069411278,Qoubber Chamra,101132,1,Akkar
3.779170334,Qoubber Chamra,101132,1,Akkar
4.897474647,Qoubber Chamra,101132,7,Minie-Danniye
6.206632495,Qoubber Chamra,101132,7,Minie-Danniye
5.734550595,Qoubber Chamra,101132,7,Minie-Danniye
1.085923806,RahbT,101135,1,Akkar
1.390896142,RahbT,101135,1,Akkar
2.03236967,RahbT,101135,2,Hermel
1.097207606,RahbT,101135,2,Hermel
1.697539836,RahbT,101135,2,Hermel
1.11917609,RahbT,101135,7,Minie-Danniye
1.612758627,RahbT,101135,7,Minie-Danniye
2.113290098,RahbT,101135,7,Minie-Danniye
0.988152544,RahbT,101135,7,Minie-Danniye
1.022333405,RahbT,101135,7,Minie-Danniye
1.249019089,RahbT,101135,7,Minie-Danniye
1.975942059,Rihaniyet Aakkar,101136,1,Akkar
1.377276719,Rihaniyet Aakkar,101136,1,Akkar
1.260562778,Rihaniyet Aakkar,101136,1,Akkar
1.033342004,Rihaniyet Aakkar,101136,1,Akkar
3.650828251,SammouniyT,101143,1,Akkar
2.472067067,SammouniyT,101143,1,Akkar
2.636059655,SammouniyT,101143,1,Akkar
3.280293536,SammouniyT,101143,1,Akkar
2.696990603,SammouniyT,101143,1,Akkar
1.371599436,SammouniyT,101143,1,Akkar
1.325065954,SammouniyT,101143,1,Akkar
1.541326821,SammouniyT,101143,1,Akkar
1.911051214,SammouniyT,101143,1,Akkar
0.872070864,Sfinet Ed-Draib,101147,1,Akkar
1.837908506,Sfinet Ed-Draib,101147,1,Akkar
2.2885732,Sfinet Ed-Draib,101147,1,Akkar
2.009970963,Sfinet Ed-Draib,101147,1,Akkar
1.777717348,Sfinet Ed-Draib,101147,1,Akkar
1.248344599,Sfinet Ed-Draib,101147,1,Akkar
1.332829247,Sfinet Ed-Draib,101147,1,Akkar
1.007341325,Sfinet Ed-Draib,101147,1,Akkar
4.359067826,Srar,101150,1,Akkar
1.407491684,Srar,101150,1,Akkar
3.322516865,Tall Aabbas El-Gharbi,101152,1,Akkar
2.789532509,Tall Aabbas El-Gharbi,101152,1,Akkar
2.367013137,Tall Aabbas El-Gharbi,101152,1,Akkar
3.869712913,Tall Aabbas El-Gharbi,101152,1,Akkar
3.852334172,Tall Aabbas El-Gharbi,101152,1,Akkar
3.494462967,Tall Aabbas El-Gharbi,101152,1,Akkar
3.291405082,Tall Aabbas El-Gharbi,101152,1,Akkar
1.836244464,Tall Hmayra,101154,1,Akkar
2.136667296,Tall Hmayra,101154,1,Akkar
1.563881477,Tall Hmayra,101154,1,Akkar
1.877202988,Tall Hmayra,101154,1,Akkar
1.425381005,Tall Hmayra,101154,1,Akkar
1.749682001,Tall Hmayra,101154,1,Akkar
