adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_n,center_lat,center_lon,_mean
Akkar,????,,,LB51,Akkar,????,,,LB7,Lebanon,?????,,,LB,13/11/2024,,788.9788769,v02,en,ar,,,Akkar,34.55238563,36.20071847,1.726286551
Aley,?????,,,LB31,Mount Lebanon,??? ?????,,,LB3,Lebanon,?????,,,LB,13/11/2024,,264.9493455,v02,en,ar,,,Aley,33.76571037,35.63118059,5.721843162
Baabda,?????,,,LB32,Mount Lebanon,??? ?????,,,LB3,Lebanon,?????,,,LB,13/11/2024,,195.0230143,v02,en,ar,,,Baabda,33.84143383,35.70041756,12.37995455
Baalbek,?????,,,LB21,Baalbek-El Hermel,????? - ??????,,,LB8,Lebanon,?????,,,LB,13/11/2024,,2319.976844,v02,en,ar,,,Baalbek,34.13138693,36.28886063,0.856757892
Bcharre,????,,,LB53,North,??????,,,LB5,Lebanon,?????,,,LB,13/11/2024,,163.9596478,v02,en,ar,,,Bcharre,34.24200283,35.98253655,1.26272234
Beirut,?????,,,LB11,Beirut,?????,,,LB1,Lebanon,?????,,,LB,13/11/2024,,21.24834651,v02,en,ar,,,Beirut,33.88927198,35.50241919,83.23888881
Bent Jbeil,??? ????,,,LB41,El Nabatieh,???????,,,LB4,Lebanon,?????,,,LB,13/11/2024,,270.0595737,v02,en,ar,,,Bent Jbeil,33.18325878,35.41601708,2.392916944
Chouf,?????,,,LB33,Mount Lebanon,??? ?????,,,LB3,Lebanon,?????,,,LB,13/11/2024,,479.2624365,v02,en,ar,,,Chouf,33.62772824,35.53655936,2.798417345
El Batroun,???????,,,LB52,North,??????,,,LB5,Lebanon,?????,,,LB,13/11/2024,,278.9440716,v02,en,ar,,,El Batroun,34.23466065,35.78012191,2.852364901
El Hermel,??????,,,LB22,Baalbek-El Hermel,????? - ??????,,,LB8,Lebanon,?????,,,LB,13/11/2024,,529.2845441,v02,en,ar,,,El Hermel,34.39057506,36.30191048,0.560153332
El Koura,??????,,,LB54,North,??????,,,LB5,Lebanon,?????,,,LB,13/11/2024,,175.8622386,v02,en,ar,,,El Koura,34.33176917,35.80489673,4.57814186
El Meten,?????,,,LB36,Mount Lebanon,??? ?????,,,LB3,Lebanon,?????,,,LB,13/11/2024,,265.1891599,v02,en,ar,,,El Meten,33.90982121,35.71849759,15.82970629
El Minieh-Dennie,?????? ??????,,,LB55,North,??????,,,LB5,Lebanon,?????,,,LB,13/11/2024,,362.2594726,v02,en,ar,,,El Minieh-Dennie,34.39265866,36.0540489,2.378897559
El Nabatieh,???????,,,LB44,El Nabatieh,???????,,,LB4,Lebanon,?????,,,LB,13/11/2024,,303.9889467,v02,en,ar,,,El Nabatieh,33.40349374,35.46830544,2.972704438
Hasbaya,??????,,,LB42,El Nabatieh,???????,,,LB4,Lebanon,?????,,,LB,13/11/2024,,263.9037605,v02,en,ar,,,Hasbaya,33.3609974,35.7030844,1.424749421
Jbeil,????,,,LB34,Mount Lebanon,??? ?????,,,LB3,Lebanon,?????,,,LB,13/11/2024,,423.6073537,v02,en,ar,,,Jbeil,34.12477919,35.82897274,2.720786611
Jezzine,????,,,LB62,South,??????,,,LB6,Lebanon,?????,,,LB,13/11/2024,,241.7741683,v02,en,ar,,,Jezzine,33.4740819,35.57720333,1.821090502
Kesrwane,??????,,,LB35,Mount Lebanon,??? ?????,,,LB3,Lebanon,?????,,,LB,13/11/2024,,343.0989208,v02,en,ar,,,Kesrwane,34.01278444,35.79063269,7.901229242
Marjaayoun,???????,,,LB43,El Nabatieh,???????,,,LB4,Lebanon,?????,,,LB,13/11/2024,,261.8581386,v02,en,ar,,,Marjaayoun,33.25892794,35.49610546,1.897344711
Rachaya,?????,,,LB23,Bekaa,??????,,,LB2,Lebanon,?????,,,LB,13/11/2024,,549.8837149,v02,en,ar,,,Rachaya,33.51767337,35.82541301,0.912460767
Saida,????,,,LB61,South,??????,,,LB6,Lebanon,?????,,,LB,13/11/2024,,273.9676394,v02,en,ar,,,Saida,33.45416403,35.33824071,5.633009831
Sour,???,,,LB63,South,??????,,,LB6,Lebanon,?????,,,LB,13/11/2024,,408.3459966,v02,en,ar,,,Sour,33.21240652,35.29010671,3.873598598
Tripoli,??????,,,LB56,North,??????,,,LB5,Lebanon,?????,,,LB,13/11/2024,,27.22317335,v02,en,ar,,,Tripoli,34.42424927,35.83670494,30.05428558
West Bekaa,?????? ??????,,,LB24,Bekaa,??????,,,LB2,Lebanon,?????,,,LB,13/11/2024,,425.5679946,v02,en,ar,,,West Bekaa,33.5994313,35.72480689,2.385083751
Zahle,????,,,LB25,Bekaa,??????,,,LB2,Lebanon,?????,,,LB,13/11/2024,,436.2416728,v02,en,ar,,,Zahle,33.8050996,35.91257143,5.907687307
Zgharta,?????,,,LB57,North,??????,,,LB5,Lebanon,?????,,,LB,13/11/2024,,177.4009105,v02,en,ar,,,Zgharta,34.36136009,35.89272206,3.895019766
